@RELATION Crime2FinalData

@ATTRIBUTE mvar_1 NUMERIC
@ATTRIBUTE mvar_2 NUMERIC
@ATTRIBUTE mvar_3 NUMERIC
@ATTRIBUTE mvar_4 NUMERIC
@ATTRIBUTE mvar_5 NUMERIC
@ATTRIBUTE mvar_6 NUMERIC
@ATTRIBUTE mvar_7 NUMERIC
@ATTRIBUTE mvar_8 NUMERIC
@ATTRIBUTE mvar_9 NUMERIC
@ATTRIBUTE mvar_10 NUMERIC
@ATTRIBUTE mvar_11 NUMERIC
@ATTRIBUTE mvar_12 NUMERIC
@ATTRIBUTE mvar_13 NUMERIC
@ATTRIBUTE mvar_14 {0,1}
@ATTRIBUTE mvar_15 NUMERIC
@ATTRIBUTE mvar_16 NUMERIC
@ATTRIBUTE mvar_17 NUMERIC
@ATTRIBUTE mvar_18 NUMERIC
@ATTRIBUTE mvar_19 NUMERIC
@ATTRIBUTE mvar_20 NUMERIC
@ATTRIBUTE mvar_21 NUMERIC
@ATTRIBUTE mvar_22 NUMERIC
@ATTRIBUTE mvar_23 NUMERIC
@ATTRIBUTE mvar_24 NUMERIC
@ATTRIBUTE mvar_25 NUMERIC
@ATTRIBUTE mvar_26 NUMERIC
@ATTRIBUTE mvar_27 NUMERIC
@ATTRIBUTE mvar_28 NUMERIC
@ATTRIBUTE mvar_29 NUMERIC
@ATTRIBUTE mvar_30 NUMERIC
@ATTRIBUTE mvar_31 NUMERIC
@ATTRIBUTE mvar_32 NUMERIC
@ATTRIBUTE mvar_33 {0,1}
@ATTRIBUTE mvar_34 NUMERIC
@ATTRIBUTE mvar_35 NUMERIC
@ATTRIBUTE mvar_36 NUMERIC
@ATTRIBUTE mvar_37 NUMERIC
@ATTRIBUTE mvar_38 NUMERIC
@ATTRIBUTE mvar_39 NUMERIC
@ATTRIBUTE mvar_40 NUMERIC
@ATTRIBUTE output {0,1,2}

@DATA
?,?,?,1,0,1,5,149.26884715,1,0,0,140.33412888,5,No,0,0,0,0.0434782609,?,380.000038,0,1,6,?,0,0,0,0,1,?,?,34.601190737,Yes,?,1,0,?,?,0,15,?
123.1891783,0,?,2,0,1,3,24.746826021,1,0,0,172.79236277,3,No,0,16.666666667,0,0.052173913,24.022013982,80.000008,0,0,2,332.38359035,30,0,0,0,0,20.945218339,1.3608428446,33.148468988,No,30.081787353,1,0,113.85801138,54.792188282,180.99547511,16,?
?,?,?,3,?,2,1,74.711186554,0,?,2,?,3,No,?,?,?,?,?,48.228004823,?,1,10,?,?,?,?,?,?,?,?,?,No,?,6,?,?,?,?,11,?
82.91579309,0,?,4,0,4,2,13.880387725,2,0,2,100.23866348,12,No,0,0,133.33333333,0.0063938619,?,100.00001,0,0,2,409.84452258,0,12.066486087,0,0,0,13.852493325,0.261108514,40.21397931,Yes,?,1,0,25.48727723,53.08295777,0,5,?
?,?,?,2,?,5,7,156.80177794,1,?,3,?,0,No,?,?,?,?,?,68.0000068,?,0,3,?,?,?,?,?,?,?,?,?,Yes,?,3,?,?,?,?,?,?
14.214135958,0,?,2,0,0,0,135.32378834,2,0,7,137.47016706,1,No,0,5.5555555556,0,0.0869565217,29.451137885,1720.000172,0,0,11,328.5740363,0,2.4459093421,0,1,2,19.971537358,0.0119722244,1.1885905215,No,?,1,0,14.691356307,54.431647471,229.66652724,27,?
947.65644433,?,?,0,0,1,9,145.07908068,1,0,3,217.66109785,6,No,0,0,0,0.0217391304,?,125.0000125,0,0,1,?,0,0,0,1,3,?,0,0,No,?,2,0,0,0,0,3,?
?,?,?,4,0,3,11,105.04170651,2,0,2,?,8,No,?,0,?,?,?,4.0000004,?,3,3,?,0,?,?,0,2,?,?,0,No,?,2,0,?,?,?,1,?
1897.5871504,0,?,1,1,4,1,183.89153115,1,0,1,173.74701671,1,No,0,11.111111111,0,0.0380434783,31.659973226,380.000038,0,1,14,325.71687077,0,2.4082799676,0,1,6,21.471006069,0.1552588471,19.248563167,No,41.172950329,2,0,45.465295844,54.762143215,21.293585307,3,?
135.83975931,0,?,4,1,2,13,12.396782901,2,0,2,110.7398568,3,No,0,11.111111111,0,0.0543478261,?,62.50000625,0,2,3,322.22477956,0,15.428043542,0,1,1,23.255725107,0.5855683108,1.584787362,No,?,0,0,93.379151073,54.765481556,51.712992889,19,?
