N_id,mvar_10
VLID_1,0
VLID_2,0
VLID_3,0
VLID_4,
VLID_5,0
VLID_6,
VLID_7,0
VLID_8,0
VLID_9,0
VLID_10,0
VLID_11,0
VLID_12,
VLID_13,0
VLID_14,0
VLID_15,
VLID_16,0
VLID_17,0
VLID_18,
VLID_19,
VLID_20,0
VLID_21,0
VLID_22,1
VLID_23,0
VLID_24,0
VLID_25,
VLID_26,0
VLID_27,0
VLID_28,
VLID_29,0
VLID_30,0
VLID_31,0
VLID_32,
VLID_33,1
VLID_34,0
VLID_35,0
VLID_36,0
VLID_37,
VLID_38,0
VLID_39,0
VLID_40,
VLID_41,0
VLID_42,
VLID_43,0
VLID_44,0
VLID_45,0
VLID_46,
VLID_47,
VLID_48,0
VLID_49,
VLID_50,0
VLID_51,0
VLID_52,0
VLID_53,0
VLID_54,0
VLID_55,0
VLID_56,0
VLID_57,
VLID_58,0
VLID_59,
VLID_60,
VLID_61,0
VLID_62,0
VLID_63,0
VLID_64,0
VLID_65,0
VLID_66,0
VLID_67,0
VLID_68,
VLID_69,1
VLID_70,
VLID_71,0
VLID_72,0
VLID_73,
VLID_74,
VLID_75,1
VLID_76,0
VLID_77,0
VLID_78,0
VLID_79,
VLID_80,0
VLID_81,0
VLID_82,0
VLID_83,
VLID_84,
VLID_85,0
VLID_86,0
VLID_87,0
VLID_88,0
VLID_89,0
VLID_90,0
VLID_91,0
VLID_92,0
VLID_93,0
VLID_94,
VLID_95,
VLID_96,0
VLID_97,0
VLID_98,
VLID_99,
VLID_100,0
VLID_101,
VLID_102,0
VLID_103,0
VLID_104,0
VLID_105,
VLID_106,
VLID_107,0
VLID_108,
VLID_109,0
VLID_110,0
VLID_111,0
VLID_112,0
VLID_113,
VLID_114,0
VLID_115,
VLID_116,
VLID_117,0
VLID_118,0
VLID_119,0
VLID_120,
VLID_121,0
VLID_122,0
VLID_123,
VLID_124,0
VLID_125,0
VLID_126,0
VLID_127,
VLID_128,0
VLID_129,0
VLID_130,0
VLID_131,0
VLID_132,0
VLID_133,0
VLID_134,0
VLID_135,
VLID_136,0
VLID_137,0
VLID_138,0
VLID_139,0
VLID_140,
VLID_141,0
VLID_142,
VLID_143,
VLID_144,0
VLID_145,0
VLID_146,
VLID_147,0
VLID_148,0
VLID_149,0
VLID_150,0
VLID_151,0
VLID_152,0
VLID_153,0
VLID_154,0
VLID_155,0
VLID_156,0
VLID_157,0
VLID_158,0
VLID_159,
VLID_160,
VLID_161,0
VLID_162,0
VLID_163,
VLID_164,0
VLID_165,0
VLID_166,
VLID_167,
VLID_168,0
VLID_169,0
VLID_170,0
VLID_171,0
VLID_172,0
VLID_173,0
VLID_174,0
VLID_175,0
VLID_176,
VLID_177,0
VLID_178,
VLID_179,
VLID_180,
VLID_181,0
VLID_182,0
VLID_183,0
VLID_184,0
VLID_185,
VLID_186,0
VLID_187,0
VLID_188,
VLID_189,
VLID_190,
VLID_191,0
VLID_192,0
VLID_193,0
VLID_194,0
VLID_195,0
VLID_196,0
VLID_197,
VLID_198,0
VLID_199,
VLID_200,
VLID_201,0
VLID_202,0
VLID_203,
VLID_204,0
VLID_205,0
VLID_206,
VLID_207,
VLID_208,
VLID_209,0
VLID_210,0
VLID_211,0
VLID_212,
VLID_213,0
VLID_214,
VLID_215,0
VLID_216,0
VLID_217,
VLID_218,
VLID_219,0
VLID_220,
VLID_221,
VLID_222,
VLID_223,
VLID_224,
VLID_225,0
VLID_226,0
VLID_227,0
VLID_228,1
VLID_229,
VLID_230,0
VLID_231,0
VLID_232,
VLID_233,0
VLID_234,0
VLID_235,0
VLID_236,0
VLID_237,0
VLID_238,0
VLID_239,0
VLID_240,0
VLID_241,0
VLID_242,0
VLID_243,0
VLID_244,0
VLID_245,
VLID_246,0
VLID_247,
VLID_248,0
VLID_249,0
VLID_250,0
VLID_251,
VLID_252,
VLID_253,
VLID_254,0
VLID_255,0
VLID_256,
VLID_257,0
VLID_258,
VLID_259,0
VLID_260,0
VLID_261,0
VLID_262,0
VLID_263,0
VLID_264,
VLID_265,
VLID_266,
VLID_267,
VLID_268,0
VLID_269,0
VLID_270,0
VLID_271,0
VLID_272,0
VLID_273,0
VLID_274,0
VLID_275,0
VLID_276,
VLID_277,0
VLID_278,0
VLID_279,
VLID_280,
VLID_281,0
VLID_282,0
VLID_283,0
VLID_284,0
VLID_285,0
VLID_286,0
VLID_287,0
VLID_288,0
VLID_289,
VLID_290,0
VLID_291,
VLID_292,
VLID_293,
VLID_294,0
VLID_295,
VLID_296,
VLID_297,0
VLID_298,
VLID_299,0
VLID_300,
VLID_301,0
VLID_302,0
VLID_303,0
VLID_304,0
VLID_305,
VLID_306,
VLID_307,
VLID_308,0
VLID_309,
VLID_310,0
VLID_311,0
VLID_312,0
VLID_313,0
VLID_314,0
VLID_315,
VLID_316,0
VLID_317,0
VLID_318,0
VLID_319,0
VLID_320,0
VLID_321,0
VLID_322,0
VLID_323,0
VLID_324,0
VLID_325,
VLID_326,0
VLID_327,0
VLID_328,0
VLID_329,0
VLID_330,
VLID_331,
VLID_332,0
VLID_333,0
VLID_334,0
VLID_335,0
VLID_336,
VLID_337,0
VLID_338,
VLID_339,0
VLID_340,0
VLID_341,0
VLID_342,1
VLID_343,0
VLID_344,
VLID_345,0
VLID_346,0
VLID_347,0
VLID_348,0
VLID_349,
VLID_350,0
VLID_351,0
VLID_352,0
VLID_353,0
VLID_354,0
VLID_355,0
VLID_356,0
VLID_357,0
VLID_358,0
VLID_359,0
VLID_360,
VLID_361,0
VLID_362,
VLID_363,
VLID_364,0
VLID_365,0
VLID_366,
VLID_367,
VLID_368,0
VLID_369,0
VLID_370,0
VLID_371,0
VLID_372,0
VLID_373,0
VLID_374,0
VLID_375,
VLID_376,
VLID_377,
VLID_378,0
VLID_379,0
VLID_380,0
VLID_381,
VLID_382,0
VLID_383,0
VLID_384,
VLID_385,0
VLID_386,
VLID_387,0
VLID_388,
VLID_389,0
VLID_390,
VLID_391,
VLID_392,0
VLID_393,0
VLID_394,0
VLID_395,
VLID_396,0
VLID_397,0
VLID_398,
VLID_399,0
VLID_400,0
VLID_401,0
VLID_402,0
VLID_403,0
VLID_404,0
VLID_405,0
VLID_406,0
VLID_407,0
VLID_408,0
VLID_409,
VLID_410,0
VLID_411,
VLID_412,0
VLID_413,0
VLID_414,0
VLID_415,
VLID_416,
VLID_417,0
VLID_418,0
VLID_419,0
VLID_420,0
VLID_421,
VLID_422,0
VLID_423,0
VLID_424,0
VLID_425,0
VLID_426,0
VLID_427,0
VLID_428,0
VLID_429,
VLID_430,0
VLID_431,
VLID_432,0
VLID_433,0
VLID_434,0
VLID_435,0
VLID_436,0
VLID_437,
VLID_438,0
VLID_439,0
VLID_440,0
VLID_441,0
VLID_442,0
VLID_443,
VLID_444,
VLID_445,
VLID_446,0
VLID_447,0
VLID_448,0
VLID_449,
VLID_450,
VLID_451,0
VLID_452,0
VLID_453,
VLID_454,0
VLID_455,0
VLID_456,
VLID_457,0
VLID_458,0
VLID_459,
VLID_460,
VLID_461,0
VLID_462,0
VLID_463,0
VLID_464,
VLID_465,
VLID_466,0
VLID_467,0
VLID_468,0
VLID_469,0
VLID_470,0
VLID_471,0
VLID_472,0
VLID_473,0
VLID_474,0
VLID_475,
VLID_476,0
VLID_477,0
VLID_478,0
VLID_479,0
VLID_480,0
VLID_481,0
VLID_482,0
VLID_483,
VLID_484,
VLID_485,
VLID_486,
VLID_487,0
VLID_488,0
VLID_489,0
VLID_490,0
VLID_491,
VLID_492,
VLID_493,0
VLID_494,
VLID_495,0
VLID_496,
VLID_497,0
VLID_498,0
VLID_499,0
VLID_500,0
VLID_501,
VLID_502,0
VLID_503,0
VLID_504,0
VLID_505,0
VLID_506,
VLID_507,
VLID_508,0
VLID_509,0
VLID_510,0
VLID_511,0
VLID_512,0
VLID_513,0
VLID_514,0
VLID_515,0
VLID_516,0
VLID_517,0
VLID_518,0
VLID_519,
VLID_520,
VLID_521,0
VLID_522,0
VLID_523,0
VLID_524,0
VLID_525,
VLID_526,0
VLID_527,
VLID_528,
VLID_529,
VLID_530,0
VLID_531,0
VLID_532,
VLID_533,
VLID_534,0
VLID_535,0
VLID_536,0
VLID_537,0
VLID_538,
VLID_539,0
VLID_540,0
VLID_541,
VLID_542,0
VLID_543,0
VLID_544,0
VLID_545,
VLID_546,0
VLID_547,
VLID_548,
VLID_549,0
VLID_550,
VLID_551,
VLID_552,0
VLID_553,0
VLID_554,0
VLID_555,0
VLID_556,
VLID_557,
VLID_558,0
VLID_559,0
VLID_560,0
VLID_561,0
VLID_562,0
VLID_563,0
VLID_564,0
VLID_565,0
VLID_566,0
VLID_567,0
VLID_568,0
VLID_569,0
VLID_570,
VLID_571,0
VLID_572,
VLID_573,0
VLID_574,0
VLID_575,0
VLID_576,0
VLID_577,0
VLID_578,0
VLID_579,0
VLID_580,0
VLID_581,
VLID_582,0
VLID_583,0
VLID_584,0
VLID_585,
VLID_586,0
VLID_587,0
VLID_588,0
VLID_589,
VLID_590,0
VLID_591,0
VLID_592,0
VLID_593,0
VLID_594,
VLID_595,0
VLID_596,0
VLID_597,0
VLID_598,0
VLID_599,0
VLID_600,0
VLID_601,0
VLID_602,0
VLID_603,0
VLID_604,0
VLID_605,0
VLID_606,0
VLID_607,0
VLID_608,1
VLID_609,
VLID_610,0
VLID_611,
VLID_612,0
VLID_613,
VLID_614,0
VLID_615,0
VLID_616,0
VLID_617,
VLID_618,0
VLID_619,0
VLID_620,
VLID_621,0
VLID_622,
VLID_623,
VLID_624,0
VLID_625,0
VLID_626,0
VLID_627,0
VLID_628,
VLID_629,0
VLID_630,
VLID_631,0
VLID_632,0
VLID_633,
VLID_634,
VLID_635,0
VLID_636,
VLID_637,0
VLID_638,0
VLID_639,
VLID_640,0
VLID_641,0
VLID_642,0
VLID_643,
VLID_644,0
VLID_645,0
VLID_646,0
VLID_647,0
VLID_648,0
VLID_649,0
VLID_650,0
VLID_651,
VLID_652,0
VLID_653,0
VLID_654,0
VLID_655,0
VLID_656,0
VLID_657,0
VLID_658,0
VLID_659,0
VLID_660,
VLID_661,0
VLID_662,1
VLID_663,0
VLID_664,0
VLID_665,0
VLID_666,
VLID_667,0
VLID_668,0
VLID_669,0
VLID_670,
VLID_671,0
VLID_672,0
VLID_673,0
VLID_674,
VLID_675,
VLID_676,0
VLID_677,
VLID_678,0
VLID_679,0
VLID_680,0
VLID_681,
VLID_682,0
VLID_683,0
VLID_684,0
VLID_685,
VLID_686,
VLID_687,
VLID_688,0
VLID_689,0
VLID_690,0
VLID_691,0
VLID_692,
VLID_693,0
VLID_694,
VLID_695,
VLID_696,0
VLID_697,0
VLID_698,0
VLID_699,0
VLID_700,0
VLID_701,0
VLID_702,0
VLID_703,
VLID_704,
VLID_705,0
VLID_706,0
VLID_707,
VLID_708,0
VLID_709,0
VLID_710,0
VLID_711,0
VLID_712,0
VLID_713,0
VLID_714,0
VLID_715,0
VLID_716,
VLID_717,
VLID_718,0
VLID_719,
VLID_720,
VLID_721,
VLID_722,0
VLID_723,
VLID_724,0
VLID_725,0
VLID_726,0
VLID_727,
VLID_728,
VLID_729,
VLID_730,
VLID_731,
VLID_732,
VLID_733,
VLID_734,0
VLID_735,
VLID_736,0
VLID_737,0
VLID_738,0
VLID_739,0
VLID_740,0
VLID_741,0
VLID_742,0
VLID_743,0
VLID_744,0
VLID_745,
VLID_746,0
VLID_747,0
VLID_748,
VLID_749,
VLID_750,0
VLID_751,
VLID_752,0
VLID_753,0
VLID_754,0
VLID_755,0
VLID_756,0
VLID_757,0
VLID_758,
VLID_759,0
VLID_760,0
VLID_761,0
VLID_762,0
VLID_763,
VLID_764,
VLID_765,0
VLID_766,0
VLID_767,0
VLID_768,0
VLID_769,
VLID_770,0
VLID_771,0
VLID_772,
VLID_773,0
VLID_774,
VLID_775,1
VLID_776,
VLID_777,0
VLID_778,0
VLID_779,0
VLID_780,0
VLID_781,
VLID_782,0
VLID_783,0
VLID_784,0
VLID_785,0
VLID_786,0
VLID_787,0
VLID_788,0
VLID_789,0
VLID_790,
VLID_791,0
VLID_792,
VLID_793,
VLID_794,
VLID_795,
VLID_796,0
VLID_797,0
VLID_798,
VLID_799,
VLID_800,
VLID_801,0
VLID_802,0
VLID_803,0
VLID_804,0
VLID_805,0
VLID_806,0
VLID_807,0
VLID_808,0
VLID_809,0
VLID_810,0
VLID_811,0
VLID_812,0
VLID_813,0
VLID_814,
VLID_815,0
VLID_816,
VLID_817,0
VLID_818,0
VLID_819,0
VLID_820,0
VLID_821,0
VLID_822,
VLID_823,0
VLID_824,0
VLID_825,0
VLID_826,
VLID_827,0
VLID_828,
VLID_829,0
VLID_830,0
VLID_831,0
VLID_832,
VLID_833,0
VLID_834,0
VLID_835,0
VLID_836,
VLID_837,0
VLID_838,0
VLID_839,0
VLID_840,0
VLID_841,0
VLID_842,0
VLID_843,
VLID_844,0
VLID_845,0
VLID_846,
VLID_847,
VLID_848,0
VLID_849,0
VLID_850,0
VLID_851,
VLID_852,
VLID_853,0
VLID_854,
VLID_855,0
VLID_856,0
VLID_857,0
VLID_858,0
VLID_859,0
VLID_860,0
VLID_861,0
VLID_862,0
VLID_863,0
VLID_864,0
VLID_865,
VLID_866,
VLID_867,0
VLID_868,
VLID_869,0
VLID_870,
VLID_871,0
VLID_872,0
VLID_873,0
VLID_874,0
VLID_875,0
VLID_876,0
VLID_877,0
VLID_878,
VLID_879,0
VLID_880,0
VLID_881,0
VLID_882,
VLID_883,0
VLID_884,
VLID_885,0
VLID_886,0
VLID_887,0
VLID_888,
VLID_889,0
VLID_890,
VLID_891,0
VLID_892,0
VLID_893,
VLID_894,0
VLID_895,0
VLID_896,0
VLID_897,
VLID_898,
VLID_899,0
VLID_900,0
VLID_901,0
VLID_902,0
VLID_903,0
VLID_904,0
VLID_905,0
VLID_906,0
VLID_907,
VLID_908,0
VLID_909,0
VLID_910,
VLID_911,0
VLID_912,0
VLID_913,0
VLID_914,0
VLID_915,0
VLID_916,0
VLID_917,0
VLID_918,0
VLID_919,0
VLID_920,0
VLID_921,0
VLID_922,
VLID_923,0
VLID_924,0
VLID_925,0
VLID_926,0
VLID_927,0
VLID_928,
VLID_929,0
VLID_930,0
VLID_931,
VLID_932,
VLID_933,
VLID_934,0
VLID_935,
VLID_936,0
VLID_937,0
VLID_938,0
VLID_939,0
VLID_940,0
VLID_941,0
VLID_942,0
VLID_943,0
VLID_944,0
VLID_945,0
VLID_946,0
VLID_947,
VLID_948,0
VLID_949,0
VLID_950,0
VLID_951,
VLID_952,0
VLID_953,0
VLID_954,
VLID_955,0
VLID_956,
VLID_957,0
VLID_958,
VLID_959,
VLID_960,
VLID_961,0
VLID_962,0
VLID_963,
VLID_964,0
VLID_965,
VLID_966,0
VLID_967,0
VLID_968,0
VLID_969,0
VLID_970,0
