@RELATION Crime1LData

@ATTRIBUTE mvar_1 NUMERIC
@ATTRIBUTE mvar_2 NUMERIC
@ATTRIBUTE mvar_3 NUMERIC
@ATTRIBUTE mvar_4 NUMERIC
@ATTRIBUTE mvar_5 NUMERIC
@ATTRIBUTE mvar_6 NUMERIC
@ATTRIBUTE mvar_7 NUMERIC
@ATTRIBUTE mvar_8 NUMERIC
@ATTRIBUTE mvar_9 NUMERIC
@ATTRIBUTE mvar_10 NUMERIC
@ATTRIBUTE mvar_11 NUMERIC
@ATTRIBUTE mvar_12 NUMERIC
@ATTRIBUTE mvar_13 NUMERIC
@ATTRIBUTE mvar_14 {0,1}
@ATTRIBUTE mvar_15 NUMERIC
@ATTRIBUTE mvar_16 NUMERIC
@ATTRIBUTE mvar_17 NUMERIC
@ATTRIBUTE mvar_18 NUMERIC
@ATTRIBUTE mvar_19 NUMERIC
@ATTRIBUTE mvar_20 NUMERIC
@ATTRIBUTE mvar_21 NUMERIC
@ATTRIBUTE mvar_22 NUMERIC
@ATTRIBUTE mvar_23 NUMERIC
@ATTRIBUTE mvar_24 NUMERIC
@ATTRIBUTE mvar_25 NUMERIC
@ATTRIBUTE mvar_26 NUMERIC
@ATTRIBUTE mvar_27 NUMERIC
@ATTRIBUTE mvar_28 NUMERIC
@ATTRIBUTE mvar_29 NUMERIC
@ATTRIBUTE mvar_30 NUMERIC
@ATTRIBUTE mvar_31 NUMERIC
@ATTRIBUTE mvar_32 NUMERIC
@ATTRIBUTE mvar_33 {0,1}
@ATTRIBUTE mvar_34 NUMERIC
@ATTRIBUTE mvar_35 NUMERIC
@ATTRIBUTE mvar_36 NUMERIC
@ATTRIBUTE mvar_37 NUMERIC
@ATTRIBUTE mvar_38 NUMERIC
@ATTRIBUTE mvar_39 NUMERIC
@ATTRIBUTE mvar_40 NUMERIC
@ATTRIBUTE output {0,1,2}

@DATA
37.904362555,0,?,0,0,1,6,104.78740802,5,0,3,154.65393795,7,No,0,0,0,0.0652173913,?,260.000026,0,2,14,526.03592092,0,14.700542302,?,0,1,4.0112832749,0.0377790193,63.721658513,No,?,3,0,7.9021689228,50.913870806,0,1,?
23.690226597,0,?,3,0,2,5,10.123820715,3,0,8,172.79236277,2,No,?,5.5555555556,?,0.0217391304,25.502008032,160.000016,0,0,6,354.92345177,2,?,0,0,5,17.290669056,0.1520472504,3.9289520016,No,?,0,0,21.202298307,53.840761142,?,5,?
1039.8114258,0,?,3,0,1,9,13.719863922,1,0,1,227.20763723,10,No,1,33.333333333,0,0.0043478261,?,120.000012,0,0,5,322.85970524,30,49.545343083,0,2,1,21.503521654,5.2692752813,205.92330785,No,?,2,1,587.82119952,54.972458688,94.300163504,4,?
14.214135958,?,?,2,0,5,4,17.153986898,2,0,6,?,17,No,?,0,?,?,?,192.0000192,?,2,9,?,30,?,?,0,0,?,?,0,No,?,0,0,?,?,?,18,?
591.30805586,0,?,1,0,1,0,27.305904779,4,0,5,105.01193317,2,No,0,16.666666667,0,0.0144927536,?,400.00004,1,1,4,317.14537417,0,7.1119517792,0,1,1,22.452715647,0.681872601,936.87346216,No,?,0,0,209.18488015,55.753630446,118.63568957,6,?
?,?,?,6,0,4,1,105.81882266,0,?,1,185.20286396,2,No,0,0,0,0.0217391304,?,76.80000768,0,1,10,?,0,0,?,?,?,?,?,0,Yes,?,2,?,?,?,0,34,?
186.82112694,0,?,3,0,2,5,56.172572773,0,0,1,90.692124105,1,No,0,11.111111111,149.06666667,0.0310559006,?,75.0000075,0,0,5,317.14537417,0,32.461607063,?,0,1,23.084070894,1.8065913168,315.76888187,No,20.17864663,0,0,159.65720169,55.117676515,205.33100118,36,?
?,?,?,5,?,2,7,62.497771784,1,?,0,?,8,No,?,?,?,?,?,24.0000024,?,2,2,?,?,?,?,?,?,?,?,?,Yes,?,2,?,?,?,?,?,?
1451.0263791,0,2433.0929678,7,0,3,9,81.402825773,3,0,4,173.74701671,2,No,1,16.666666667,1333.3333333,0.0158102767,?,252.0000252,0,2,4,337.1455329,0,177.12146574,0,3,1,14.272881624,2.2257950596,507.49513627,No,?,3,3,453.15043337,54.611917877,101.9050154,14,?
2970.9913175,0,?,2,0,4,1,30.638478866,1,0,2,372.3150358,5,No,0,0,13760,0.0130434783,?,3600.00036,0,4,18,1460.0115874,30,1352.5878662,?,1,3,2.5984501384,0.1969496702,2018.8870336,No,?,2,0,499.8400089,51.090922097,0,0,?
