N_id,mvar_10
SID_1,0
SID_2,0
SID_3,0
SID_4,
SID_5,0
SID_6,0
SID_7,0
SID_8,0
SID_9,
SID_10,0
SID_11,0
SID_12,0
SID_13,0
SID_14,0
SID_15,0
SID_16,0
SID_17,0
SID_18,0
SID_19,0
SID_20,0
SID_21,0
SID_22,0
SID_23,0
SID_24,0
SID_25,
SID_26,0
SID_27,0
SID_28,
SID_29,0
SID_30,0
SID_31,
SID_32,
SID_33,0
SID_34,
SID_35,0
SID_36,0
SID_37,0
SID_38,0
SID_39,
SID_40,0
SID_41,0
SID_42,0
SID_43,
SID_44,
SID_45,0
SID_46,0
SID_47,0
SID_48,0
SID_49,0
SID_50,
SID_51,0
SID_52,0
SID_53,0
SID_54,0
SID_55,
SID_56,0
SID_57,
SID_58,
SID_59,0
SID_60,0
SID_61,0
SID_62,0
SID_63,0
SID_64,0
SID_65,0
SID_66,
SID_67,0
SID_68,
SID_69,0
SID_70,
SID_71,
SID_72,0
SID_73,0
SID_74,0
SID_75,0
SID_76,0
SID_77,0
SID_78,0
SID_79,0
SID_80,0
SID_81,0
SID_82,0
SID_83,0
SID_84,0
SID_85,0
SID_86,0
SID_87,0
SID_88,0
SID_89,0
SID_90,0
SID_91,
SID_92,0
SID_93,0
SID_94,0
SID_95,0
SID_96,
SID_97,0
SID_98,0
SID_99,
SID_100,0
SID_101,0
SID_102,0
SID_103,0
SID_104,0
SID_105,0
SID_106,0
SID_107,0
SID_108,0
SID_109,0
SID_110,
SID_111,0
SID_112,0
SID_113,0
SID_114,0
SID_115,0
SID_116,0
SID_117,
SID_118,0
SID_119,0
SID_120,0
SID_121,0
SID_122,
SID_123,
SID_124,0
SID_125,
SID_126,
SID_127,0
SID_128,1
SID_129,0
SID_130,
SID_131,0
SID_132,0
SID_133,
SID_134,0
SID_135,0
SID_136,
SID_137,
SID_138,0
SID_139,
SID_140,0
SID_141,0
SID_142,0
SID_143,
SID_144,0
SID_145,0
SID_146,0
SID_147,
SID_148,0
SID_149,0
SID_150,0
SID_151,
SID_152,0
SID_153,0
SID_154,
SID_155,
SID_156,0
SID_157,0
SID_158,0
SID_159,0
SID_160,0
SID_161,
SID_162,0
SID_163,0
SID_164,0
SID_165,
SID_166,0
SID_167,0
SID_168,0
SID_169,
SID_170,
SID_171,
SID_172,0
SID_173,0
SID_174,0
SID_175,
SID_176,0
SID_177,0
SID_178,0
SID_179,0
SID_180,
SID_181,0
SID_182,0
SID_183,0
SID_184,0
SID_185,0
SID_186,0
SID_187,0
SID_188,0
SID_189,0
SID_190,0
SID_191,
SID_192,0
SID_193,0
SID_194,0
SID_195,0
SID_196,
SID_197,0
SID_198,
SID_199,0
SID_200,0
SID_201,0
SID_202,
SID_203,
SID_204,0
SID_205,0
SID_206,
SID_207,0
SID_208,
SID_209,
SID_210,0
SID_211,0
SID_212,0
SID_213,
SID_214,0
SID_215,0
SID_216,0
SID_217,0
SID_218,0
SID_219,0
SID_220,0
SID_221,0
SID_222,
SID_223,
SID_224,0
SID_225,0
SID_226,0
SID_227,
SID_228,
SID_229,
SID_230,0
SID_231,
SID_232,0
SID_233,0
SID_234,0
SID_235,0
SID_236,0
SID_237,0
