@RELATION Crime2TrainData

@ATTRIBUTE mvar_1 NUMERIC
@ATTRIBUTE mvar_2 NUMERIC
@ATTRIBUTE mvar_3 NUMERIC
@ATTRIBUTE mvar_4 NUMERIC
@ATTRIBUTE mvar_5 NUMERIC
@ATTRIBUTE mvar_6 NUMERIC
@ATTRIBUTE mvar_7 NUMERIC
@ATTRIBUTE mvar_8 NUMERIC
@ATTRIBUTE mvar_9 NUMERIC
@ATTRIBUTE mvar_10 NUMERIC
@ATTRIBUTE mvar_11 NUMERIC
@ATTRIBUTE mvar_12 NUMERIC
@ATTRIBUTE mvar_13 NUMERIC
@ATTRIBUTE mvar_14 {0,1}
@ATTRIBUTE mvar_15 NUMERIC
@ATTRIBUTE mvar_16 NUMERIC
@ATTRIBUTE mvar_17 NUMERIC
@ATTRIBUTE mvar_18 NUMERIC
@ATTRIBUTE mvar_19 NUMERIC
@ATTRIBUTE mvar_20 NUMERIC
@ATTRIBUTE mvar_21 NUMERIC
@ATTRIBUTE mvar_22 NUMERIC
@ATTRIBUTE mvar_23 NUMERIC
@ATTRIBUTE mvar_24 NUMERIC
@ATTRIBUTE mvar_25 NUMERIC
@ATTRIBUTE mvar_26 NUMERIC
@ATTRIBUTE mvar_27 NUMERIC
@ATTRIBUTE mvar_28 NUMERIC
@ATTRIBUTE mvar_29 NUMERIC
@ATTRIBUTE mvar_30 NUMERIC
@ATTRIBUTE mvar_31 NUMERIC
@ATTRIBUTE mvar_32 NUMERIC
@ATTRIBUTE mvar_33 {0,1}
@ATTRIBUTE mvar_34 NUMERIC
@ATTRIBUTE mvar_35 NUMERIC
@ATTRIBUTE mvar_36 NUMERIC
@ATTRIBUTE mvar_37 NUMERIC
@ATTRIBUTE mvar_38 NUMERIC
@ATTRIBUTE mvar_39 NUMERIC
@ATTRIBUTE mvar_40 NUMERIC
@ATTRIBUTE output {0,1,2}

@DATA
656.7878422,0,?,0,0,3,5,26.65689333,1,0,1,136.5155131,8,No,?,0,?,0,?,500.00005,0,3,17,?,0,?,?,0,0,?,0,3.301640338,No,?,2,0,0,50.02503756,?,6,0
14.21413596,0,?,0,0,2,3,29.06607846,0,0,3,145.1073986,1,No,0,0,0,0.054347826,8.43373494,120.000012,0,2,4,?,0,0,?,0,0,?,0.031427089,12.34813486,No,12.06463196,2,0,3.505891846,51.2869304,0,87,0
196.6288808,0,?,8,0,1,6,72.76646529,1,0,2,194.7494033,6,Yes,0,11.11111111,600,0.013043478,32.87594824,22.22000222,0,1,4,333.9709045,0,75.02042962,0,0,0,19.5438814,6.856481263,59.59460809,No,1.808630893,7,0,297.4443161,54.94408279,0,4,0
11.8451133,0,?,2,1,8,3,104.5297663,2,0,2,140.3341289,4,No,0,0,0,0.043478261,?,120.000012,0,1,3,?,0,0,?,0,2,?,0.010974539,44.37404614,Yes,4.21304608,4,?,1.224279692,50.46569855,0,16,0
?,?,?,1,0,0,15,132.3902336,2,?,0,79.23627685,4,No,0,0,0,0.086956522,?,400.00004,0,2,1,?,0,3.7378512,?,0,?,?,?,0,Yes,?,1,?,?,?,50.19202251,10,0
28.42827192,?,?,1,0,4,0,25.94794722,1,0,2,191.8854415,5,Yes,0,0,0,0.065217391,?,48.0000048,0,1,7,?,30,7.187210528,0,0,0,?,?,0,Yes,?,2,0,?,?,0,1,0
?,0,?,2,0,2,3,162.3887949,0,0,2,168.0190931,7,No,0,5.555555556,0,0.006086957,36.06091031,80.000008,0,2,4,317.1453742,0,0,0,0,1,24.45858388,0.286668263,60.51906739,Yes,?,2,0,23.98475215,55.42063095,0,16,0
1563.554955,0,?,0,0,2,3,132.3003701,0,0,0,355.1312649,4,No,1,0,400,0,?,360.000036,0,4,3,2095.572187,30,200.3011604,?,0,16,3.937794561,3.217734855,903.625944,No,?,3,0,897.3970144,52.08699125,372.6377429,9,0
239.2712886,0,?,10,0,0,4,26.50130172,2,0,6,189.0214797,6,No,0,22.22222222,80,0.024456522,22.79953146,140.000014,0,1,5,366.0346511,0,26.24021715,0,0,0,9.992725283,1.300094891,129.0941372,No,35.39796529,1,0,187.4817402,55.00751127,194.6842085,38,0
388.5197162,0,?,2,0,11,1,80.40309223,2,0,1,223.3890215,2,No,0,0,400,0.016908213,1.311552516,300.00003,0,4,19,588.5760998,0,9.495145497,0,1,2,6.290264397,1.210603165,388.8011661,No,3.15543224,0,0,286.9822897,51.7776665,74.52754858,8,1
