N_id,mvar_10
DV_ID_1,0
DV_ID_2,0
DV_ID_3,0
DV_ID_4,0
DV_ID_5,0
DV_ID_6,0
DV_ID_7,0
DV_ID_8,
DV_ID_9,0
DV_ID_10,0
DV_ID_11,0
DV_ID_12,0
DV_ID_13,0
DV_ID_14,0
DV_ID_15,0
DV_ID_16,0
DV_ID_17,0
DV_ID_18,0
DV_ID_19,
DV_ID_20,
DV_ID_21,0
DV_ID_22,0
DV_ID_23,0
DV_ID_24,0
DV_ID_25,0
DV_ID_26,0
DV_ID_27,
DV_ID_28,0
DV_ID_29,
DV_ID_30,
DV_ID_31,0
DV_ID_32,0
DV_ID_33,0
DV_ID_34,0
DV_ID_35,0
DV_ID_36,0
DV_ID_37,
DV_ID_38,0
DV_ID_39,
DV_ID_40,0
DV_ID_41,0
DV_ID_42,0
DV_ID_43,0
DV_ID_44,
DV_ID_45,
DV_ID_46,0
DV_ID_47,0
DV_ID_48,0
DV_ID_49,
DV_ID_50,0
DV_ID_51,0
DV_ID_52,0
DV_ID_53,
DV_ID_54,0
DV_ID_55,0
DV_ID_56,0
DV_ID_57,0
DV_ID_58,0
DV_ID_59,0
DV_ID_60,0
DV_ID_61,0
DV_ID_62,
DV_ID_63,0
DV_ID_64,0
DV_ID_65,
DV_ID_66,0
DV_ID_67,
DV_ID_68,
DV_ID_69,
DV_ID_70,0
DV_ID_71,0
DV_ID_72,0
DV_ID_73,0
DV_ID_74,0
DV_ID_75,0
DV_ID_76,0
DV_ID_77,0
DV_ID_78,0
DV_ID_79,0
DV_ID_80,0
DV_ID_81,
DV_ID_82,0
DV_ID_83,0
DV_ID_84,0
DV_ID_85,0
DV_ID_86,0
DV_ID_87,0
DV_ID_88,0
DV_ID_89,
DV_ID_90,
DV_ID_91,0
DV_ID_92,0
DV_ID_93,0
DV_ID_94,
DV_ID_95,
DV_ID_96,0
DV_ID_97,0
DV_ID_98,0
DV_ID_99,0
DV_ID_100,
DV_ID_101,
DV_ID_102,0
DV_ID_103,0
DV_ID_104,0
DV_ID_105,0
DV_ID_106,0
DV_ID_107,0
DV_ID_108,
DV_ID_109,0
DV_ID_110,0
DV_ID_111,0
DV_ID_112,1
DV_ID_113,0
DV_ID_114,
DV_ID_115,0
DV_ID_116,
DV_ID_117,0
DV_ID_118,0
DV_ID_119,
DV_ID_120,
DV_ID_121,0
DV_ID_122,0
DV_ID_123,0
DV_ID_124,0
DV_ID_125,0
DV_ID_126,0
DV_ID_127,0
DV_ID_128,0
DV_ID_129,0
DV_ID_130,0
DV_ID_131,0
DV_ID_132,0
DV_ID_133,
DV_ID_134,0
DV_ID_135,0
DV_ID_136,0
DV_ID_137,
DV_ID_138,0
DV_ID_139,0
DV_ID_140,0
DV_ID_141,0
DV_ID_142,0
DV_ID_143,0
DV_ID_144,
DV_ID_145,
DV_ID_146,0
DV_ID_147,0
DV_ID_148,
DV_ID_149,
DV_ID_150,0
DV_ID_151,0
DV_ID_152,0
DV_ID_153,0
DV_ID_154,0
DV_ID_155,0
DV_ID_156,
DV_ID_157,0
DV_ID_158,0
DV_ID_159,0
DV_ID_160,
DV_ID_161,0
DV_ID_162,0
DV_ID_163,0
DV_ID_164,
DV_ID_165,
DV_ID_166,
DV_ID_167,
DV_ID_168,0
DV_ID_169,0
DV_ID_170,
DV_ID_171,0
DV_ID_172,0
DV_ID_173,0
DV_ID_174,0
DV_ID_175,
DV_ID_176,
DV_ID_177,0
DV_ID_178,0
DV_ID_179,
DV_ID_180,
DV_ID_181,0
DV_ID_182,0
