@relation 'Crime1Train_trainData-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 4 -E 4-Sweka.attributeSelection.BestFirst -D 2 -N 10'

@attribute mvar_2 numeric
@attribute mvar_12 numeric
@attribute mvar_17 numeric
@attribute mvar_25 numeric
@attribute mvar_32 numeric
@attribute mvar_40 numeric
@attribute output {0,1,2}

@data

0,202.386635,0,0,133.320237,2,0
?,60.143198,0,0,0,9,0
0,95.465394,0,0,277.205723,6,0
?,?,?,?,?,?,0
0,191.885442,0,0,168.812871,23,0
?,?,?,?,?,?,0
?,29.594272,?,0,0,6,0
?,?,?,0,0,5,0
?,34.367542,0,0,0,14,0
?,83.054893,?,0,0,7,0
?,102.147971,0,0,0,7,0
?,107.875895,0,0,270.965623,8,0
?,149.880668,0,0,206.484587,9,0
?,?,0,0,0,10,0
0,228.162291,133.333333,0,126.518858,44,0
0,136.515513,?,0,21.856859,6,0
?,?,?,?,?,?,0
?,103.102625,?,0,32.257026,?,0
0,224.343675,0,30,29.780796,6,0
?,46.778043,?,0,0,3,0
0,85.918854,0,0,0,17,0
?,122.195704,0,0,0,8,0
0,195.704057,0,0,125.297251,0,0
?,?,?,0,0,5,0
0,180.429594,0,0,64.216905,7,1
0,150.835322,906.666667,0,983.591673,4,0
0,202.386635,0,30,13.206561,4,0
?,?,?,0,0,10,0
0,222.434368,0,30,14.725316,13,0
0,334.128878,7333.333333,30,1331.320433,?,1
0,157.5179,0,0,13.932922,20,0
0,205.250597,0,0,344.988399,0,0
0,103.102625,0,0,6.768363,11,0
0,353.221957,6666.666667,30,1131.50516,?,0
0,237.708831,0,0,1301.737736,1,1
0,290.214797,0,30,19.083481,6,1
?,25.775656,0,0,138.008566,1,0
?,290.214797,0,30,6.636297,0,1
?,126.968974,0,0,0,2,0
0,340.811456,5333.333333,2,1479.33297,1,1
0,191.885442,0,1,55.467558,9,0
?,56.324582,0,0,0,0,0
0,209.069212,0,1,460.776926,29,0
0,206.205251,133.333333,0,11.357643,1,1
?,123.150358,0,0,79.371434,19,0
0,281.622912,0,30,851.06383,7,1
0,121.24105,0,0,27.238533,11,0
0,277.804296,0,30,22.418138,5,1
3,229.116945,0,0,35.52565,13,0
0,228.162291,0,0,610.044085,2,1
0,121.24105,0,0,0,0,0
?,83.054893,0,0,19.776826,6,0
0,180.429594,106.666667,0,246.830632,10,0
0,283.53222,0,30,588.15421,?,1
?,84.009547,0,0,116.878068,4,0
0,185.202864,0,0,5.150559,8,0
?,?,?,?,?,?,0
0,129.832936,?,0,0.099049,26,0
?,?,?,?,?,?,0
0,269.212411,0,30,97.563472,0,0
0,359.904535,1946.666667,30,2213.815879,14,1
0,196.658711,120,0,216.059344,13,0
0,187.112172,0,0,71.084316,12,0
?,?,?,30,0,8,0
0,?,?,30,91.257339,15,0
?,130.78759,0,0,0,1,0
?,51.551313,0,0,0,10,0
0,136.515513,0,0,372.06185,12,0
0,55.369928,0,0,0,0,0
0,156.563246,93.333333,0,189.811303,0,0
?,155.608592,0,0,0,4,0
0,134.606205,0,0,8.221084,1,0
0,133.651551,0,0,0.858426,11,0
?,?,?,0,0,0,0
?,73.508353,0,0,0,10,0
?,105.011933,0,0,6.570264,3,0
?,?,?,?,?,?,0
0,143.198091,0,1,37.308536,38,0
0,214.797136,0,30,36.252011,3,0
?,212.887828,0,30,0,27,0
0,163.245823,0,0,35.426601,2,0
0,196.658711,106.666667,0,102.020686,18,0
?,?,?,?,?,?,1
?,134.606205,0,0,0,12,0
?,?,?,?,?,?,0
?,?,?,0,0,10,0
0,121.24105,0,0,263.73503,?,0
?,120.286396,0,0,0,5,0
?,42.959427,0,0,0,20,0
?,139.379475,0,0,46.883293,1,0
0,146.062053,0,0,9234.324843,3,0
0,143.198091,34.666667,0,17.663776,1,0
0,188.066826,0,30,284.997594,5,0
0,152.74463,0,0,13.338627,18,0
?,?,0,?,?,?,0
0,220.52506,0,0,180.236546,4,0
?,135.560859,0,0,99.280325,11,0
0,257.756563,0,29,1681.162243,4,1
?,118.377088,?,0,191.098943,0,0
?,110.739857,0,0,118.760003,5,0
?,?,?,0,0,19,0
?,?,?,?,?,2,0
0,57.279236,0,0,33.973879,5,0
0,245.346062,0,30,169.73733,2,1
0,126.01432,0,0,0.759377,3,0
?,40.095465,0,0,0,1,0
?,?,?,0,0,5,0
0,278.75895,0,30,129.457318,0,0
?,?,?,?,?,?,0
?,?,?,30,0,2,0
?,?,?,?,?,8,0
0,121.24105,0,0,23.507679,2,0
0,226.252983,0,0,398.474972,3,0
0,73.508353,0,0,0,25,0
0,286.396181,0,30,56.325984,2,1
0,219.570406,0,0,572.933648,?,0
0,216.706444,66.933333,30,15.814857,1,0
0,236.754177,168,0,1584.688313,?,1
0,258.711217,0,30,499.868347,1,1
0,242.4821,1533.333333,0,312.929471,0,1
0,115.513127,66.666667,0,289.983071,2,0
?,193.794749,0,1,33.115453,2,0
?,44.868735,?,0,0,2,0
?,200.477327,0,30,11.522725,17,0
?,?,?,0,0,0,0
?,101.193317,0,0,0,10,0
?,180.429594,0,0,427.001145,3,0
0,?,0,30,0.726361,0,0
?,92.601432,0,0,0,11,0
0,162.29117,0,0,95.384389,0,0
0,238.663485,0,29,357.171452,2,1
0,287.350835,0,1,16.508202,0,1
0,230.071599,0,0,453.315218,1,1
?,?,?,?,?,?,0
0,255.847255,0,0,211.932293,2,0
?,?,?,?,?,?,0
4,146.062053,106.666667,0,710.546017,10,0
0,219.570406,2293.333333,30,0,10,0
0,142.243437,53.6,0,1.452722,1,0
?,86.873508,0,0,0,18,0
0,236.754177,66.666667,1,414.950158,11,1
?,?,?,?,?,?,0
?,115.513127,0,0,219.327968,4,0
?,?,?,?,?,0,0
?,?,?,0,0,?,0
0,191.885442,0,0,69.994775,0,0
?,?,?,?,?,?,0
?,?,?,0,0,10,0
0,47.732697,0,0,0.957476,5,0
2,172.792363,0,0,270.272278,2,0
?,-36.27685,0,0,50.680179,3,0
0,295.942721,6880,1,648.27708,1,1
?,145.107399,0,0,0,?,0
?,235.799523,0,30,64.8112,2,0
