@relation 'Crime1Train_trainData-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CorrelationAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute mvar_12 numeric
@attribute mvar_25 numeric
@attribute mvar_30 numeric
@attribute mvar_32 numeric
@attribute mvar_1 numeric
@attribute mvar_17 numeric
@attribute mvar_18 numeric
@attribute mvar_40 numeric
@attribute mvar_29 numeric
@attribute mvar_24 numeric
@attribute mvar_34 numeric
@attribute mvar_19 numeric
@attribute mvar_36 numeric
@attribute mvar_37 numeric
@attribute mvar_5 numeric
@attribute mvar_2 numeric
@attribute mvar_14 {0,1}
@attribute mvar_39 numeric
@attribute mvar_26 numeric
@attribute mvar_27 numeric
@attribute mvar_38 numeric
@attribute mvar_28 numeric
@attribute mvar_3 numeric
@attribute mvar_31 numeric
@attribute mvar_20 numeric
@attribute mvar_21 numeric
@attribute mvar_16 numeric
@attribute mvar_15 numeric
@attribute mvar_7 numeric
@attribute mvar_10 numeric
@attribute mvar_35 numeric
@attribute mvar_6 numeric
@attribute mvar_9 numeric
@attribute mvar_11 numeric
@attribute mvar_23 numeric
@attribute mvar_4 numeric
@attribute mvar_8 numeric
@attribute mvar_22 numeric
@attribute mvar_13 numeric
@attribute mvar_33 {0,1}
@attribute output {0,1,2}

@data

202.386635,0,15.057777,133.320237,702.273077,0,0.008696,2,1,327.939111,13.351952,14.558233,1,328.830396,0,0,0,53.233963,71.947364,0,54.892339,4,?,3.112877,111.508011,0,11.111111,2,1,0,1,4,1,3,4,1,31.408636,1,3,0,0
60.143198,0,?,0,?,0,0.086957,9,0,?,?,?,0,?,0,?,0,0,0,1,?,0,?,?,100.00001,0,0,0,8,0,2,4,0,3,1,3,14.370135,0,5,1,0
95.465394,0,22.368415,277.205723,539.094796,0,0.007246,6,4,326.351796,?,?,0,109.684331,0,0,0,97.342104,9.056136,?,54.95994,1,?,0.561839,240.000024,0,5.555556,0,5,0,4,2,2,3,6,2,3.031583,2,2,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,40.000004,?,?,?,9,?,1,1,1,1,4,4,31.019003,2,3,1,0
191.885442,0,19.780696,168.812871,2011.679282,0,0.01087,23,1,317.145374,0,25.146563,0,121.259339,0,0,0,0,16.694899,0,55.082624,4,?,0.297395,544.800055,0,11.111111,0,3,0,0,5,3,3,2,2,90.922598,1,14,1,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,100.00001,?,?,?,7,?,3,3,3,0,4,1,78.928811,2,6,1,0
29.594272,0,?,0,?,?,0.043478,6,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,40.000004,0,0,?,3,?,1,6,1,2,5,4,64.06922,1,8,1,0
?,0,?,0,?,?,?,5,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,140.000014,?,0,?,2,?,0,4,1,3,5,4,49.410508,0,1,0,0
34.367542,0,?,0,?,0,?,14,0,?,?,?,0,?,1,?,0,0,0,?,?,0,?,?,240.000024,?,0,0,10,0,0,7,4,1,13,9,71.351688,2,2,0,0
83.054893,0,?,0,?,?,0.282609,7,2,?,?,?,0,?,3,?,0,?,?,?,?,0,?,?,130.000013,0,0,?,5,0,2,1,0,1,2,4,113.340775,3,0,0,0
102.147971,0,?,0,?,0,0.014493,7,?,?,?,?,?,?,0,?,0,0,0,?,?,?,?,?,92.000009,0,0,0,5,?,2,2,2,4,4,2,208.714865,3,5,1,0
107.875895,0,?,270.965623,47.380453,0,0.021739,8,1,?,?,?,0,?,0,?,0,0,0,?,?,0,?,?,120.000012,0,0,0,6,0,3,3,2,1,5,1,44.653918,1,1,1,0
149.880668,0,?,206.484587,?,0,0.021739,9,?,?,?,?,?,?,0,?,0,0,0,?,?,0,?,?,168.000017,0,0,0,2,?,1,0,1,1,7,7,158.296852,0,1,0,0
?,0,?,0,4.738045,0,?,10,1,?,?,?,0,?,1,?,0,0,0,?,?,0,?,?,67.200007,?,0,0,11,0,0,4,2,2,0,3,163.141437,1,4,0,0
228.162291,0,2.750366,126.518858,159.90903,133.333333,0.007246,44,2,412.384225,?,?,0,3.394594,0,0,0,0,28.49798,?,50.635954,1,?,0.006579,700.00007,0,0,0,1,0,2,4,1,2,8,7,82.947631,1,1,0,0
136.515513,0,?,21.856859,165.784206,?,0.032609,6,1,?,?,?,0,0,1,0,0,?,?,?,?,1,?,?,340.000034,0,0,?,2,0,5,1,0,1,7,0,143.853399,0,4,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,244.000024,?,?,?,4,?,1,1,3,3,4,7,152.622817,0,1,1,0
103.102625,0,?,32.257026,?,?,0.032609,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,73.920007,0,0,?,2,?,1,1,1,3,11,1,26.266778,2,12,0,0
224.343675,30,13.579863,29.780796,85.284816,0,0.021739,6,0,410.479448,?,16.696415,0,49.972871,0,0,0,439.56044,6.0207,0,53.560341,0,?,0.814474,48.000005,0,0,0,0,0,1,7,0,3,11,5,133.770704,2,3,1,0
46.778043,0,?,0,?,?,?,3,?,?,?,?,?,?,0,?,0,?,?,?,?,0,?,?,48.000005,?,0,?,1,?,2,2,1,1,2,1,91.694918,0,7,0,0
85.918854,0,25.196959,0,?,0,0.23913,17,1,317.145374,?,37.148594,0,18.531143,4,0,0,0,0,0,55.583375,0,?,0.237307,72.000007,0,5.555556,0,4,0,2,6,2,1,1,3,51.636867,1,2,0,0
122.195704,0,?,0,14.214136,0,?,8,?,?,?,?,?,?,0,?,0,0,0,?,?,0,?,?,76.800008,?,0,0,4,?,3,3,3,4,12,0,92.075225,3,4,0,0
195.704057,0,18.154,125.297251,54.487521,0,0.013043,0,2,333.335979,1.675643,?,0,31.553027,0,0,0,0,13.747265,1,54.181272,0,?,0.29773,112.000011,0,11.111111,0,2,0,2,4,1,0,13,5,70.340442,0,1,1,0
?,0,?,0,?,?,?,5,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,160.000016,?,0,?,8,0,4,4,1,4,6,1,46.861845,0,6,0,0
180.429594,0,18.818952,64.216905,277.175651,0,0.018634,7,1,343.177327,?,?,1,105.176755,0,0,0,196.205179,14.587654,0,54.445001,2,2422.321415,0.549745,234.400023,0,16.666667,0,6,0,3,9,1,2,1,2,260.565701,1,1,0,1
150.835322,0,20.375744,983.591673,1191.334115,906.666667,0.01087,4,5,339.05031,?,?,0,407.184296,0,0,0,1616.791513,264.873167,0,54.930926,2,?,0.362286,1572.000157,0,11.111111,0,4,0,3,5,2,1,13,1,38.981704,1,4,1,0
202.386635,30,?,13.206561,?,0,0.021739,4,?,?,0,0,?,35.671058,0,0,0,0,0,?,54.037306,?,?,0.412591,84.000008,0,0,0,3,?,4,4,2,1,12,1,207.719295,3,3,1,0
?,0,?,0,?,?,?,10,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,28.000003,?,0,?,3,?,2,5,3,1,5,3,167.457306,2,1,0,0
222.434368,30,19.078996,14.725316,132.665269,0,0.021739,13,0,347.304344,?,17.570281,0,130.997927,0,0,0,438.039469,25.186595,0,54.356535,0,?,0.5219,320.000032,0,5.555556,0,5,0,2,3,4,1,9,1,49.73929,1,3,0,0
334.128878,30,1.364081,1331.320433,3127.157291,7333.333333,0,?,6,4920.356511,?,?,0,93.323502,0,0,0,0,93.84766,?,50.330405,1,?,0.107943,1200.00012,0,0,0,0,0,2,2,2,2,13,1,107.531038,0,2,0,1
157.5179,0,20.221449,13.932922,23.690227,0,0.059783,20,2,329.208962,?,26.982932,0,61.603528,0,0,0,34.982319,3.41173,0,54.651978,1,?,0.324835,232.000023,0,11.111111,0,2,0,2,2,1,1,8,3,48.404361,3,10,0,0
205.250597,0,18.826489,344.988399,784.620305,0,0.014493,0,3,858.102048,0,?,0,461.664742,0,0,0,860.869235,53.885264,?,54.179269,1,?,4.151268,119.504012,0,5.555556,0,7,0,2,5,0,1,5,0,67.674845,1,1,1,0
103.102625,0,13.382963,6.768363,72.965898,0,0.152174,11,2,382.225256,?,?,0,16.416478,5,0,0,139.929275,5.167767,0,52.979469,3,?,0.130808,140.000014,0,0,0,7,0,1,0,2,2,5,3,69.28685,4,10,0,0
353.221957,30,1.636216,1131.50516,2076.116698,6666.666667,0.004831,?,7,473.654553,0,?,0,242.240432,0,0,0,0,767.062256,?,52.66337,2,?,8.685849,0.004,0,0,0,2,0,0,4,1,6,13,0,41.300796,0,0,0,0
237.708831,0,?,1301.737736,3176.954148,0,0.004348,1,3,4761.625092,?,?,0,0,0,0,0,0,19.354042,?,50.025038,3,?,0,288.000029,0,0,0,8,0,0,1,6,6,6,6,13.899009,2,3,0,1
290.214797,30,16.173476,19.083481,?,0,0.007246,6,4,557.147279,?,?,?,729.893293,0,0,0,120.15666,121.091327,?,54.184642,?,?,7.697436,96.00001,0,0,0,6,0,2,2,2,3,2,0,12.069932,3,0,1,1
25.775656,0,?,138.008566,?,0,?,1,?,?,?,?,?,?,1,?,0,0,0,?,?,0,?,?,1600.00016,?,0,0,9,?,3,5,2,0,3,3,103.404055,1,0,0,0
290.214797,30,?,6.636297,?,0,0,0,?,?,?,?,?,?,0,?,0,0,0,?,?,?,?,?,220.000022,0,0,0,7,?,5,1,2,5,4,2,31.478421,1,0,1,1
126.968974,0,?,0,?,0,?,2,?,?,?,?,?,?,0,?,0,0,0,?,?,?,?,?,6.600001,?,0,0,8,?,2,2,1,4,1,2,54.249796,3,2,0,0
340.811456,2,1.015831,1479.33297,4349.572984,5333.333333,0.004831,1,6,952.388511,0,?,1,89.428067,0,0,0,0,127.400519,0,50.358432,3,?,0.534427,200.00002,0,0,0,0,0,3,4,0,1,16,0,23.238813,5,1,0,1
191.885442,1,16.336462,55.467558,284.282719,0,0.021739,9,1,317.145374,0,14.457831,0,48.080802,0,0,0,0,0,0,55.47321,1,?,0.431,120.000012,0,5.555556,0,1,0,1,4,0,1,9,5,123.32204,0,3,0,0
56.324582,0,?,0,?,0,?,0,2,?,?,?,0,?,2,?,0,0,0,?,?,0,?,?,80.000008,?,0,0,3,0,3,1,2,2,5,1,109.617539,0,3,0,0
209.069212,1,20.483753,460.776926,71.07068,0,0.007246,29,1,321.589854,?,33.350067,0,276.242018,0,0,0,42.587171,13.383514,0,55.015023,1,2411.802624,0.968233,369.200037,0,5.555556,0,3,0,1,1,3,5,5,7,141.378412,0,4,1,0
206.205251,0,18.635324,11.357643,329.29415,133.333333,0.003106,1,2,327.304185,?,?,1,578.082611,0,0,0,483.668581,74.61905,0,54.712068,1,?,2.303101,320.000032,0,22.222222,1,0,0,5,5,2,1,9,4,105.317465,2,7,0,1
123.150358,0,?,79.371434,?,0,0.108696,19,1,?,?,?,0,?,1,?,0,0,0,?,?,0,?,?,224.992023,0,0,0,4,0,3,10,3,3,13,2,62.47214,2,3,0,0
281.622912,30,12.18788,851.06383,2222.806581,0,0.003953,7,3,396.511083,0,?,2,365.447488,0,0,0,9.125822,180.056557,0,54.674869,2,?,3.2759,120.000012,0,5.555556,1,0,0,2,3,2,0,1,1,97.204443,1,3,0,1
121.24105,0,?,27.238533,777.039432,0,0.021739,11,3,?,?,?,0,0,0,0,0,0,0,?,?,3,?,?,300.00003,0,0,0,4,0,2,3,0,2,6,2,13.968928,5,7,0,0
277.804296,30,?,22.418138,?,0,0.007246,5,0,?,7.241173,5.061914,?,6.733538,0,0,0,0,0,?,50.782424,?,?,0.048288,160.000016,0,0,0,6,0,1,1,0,8,14,1,72.452688,0,4,1,1
229.116945,0,22.685252,35.52565,601.684375,0,0.007246,13,4,317.145374,48.354279,5.633646,2,713.699412,0,3,0,1329.328111,84.716265,0,55.43315,1,?,3.010662,300.00003,0,44.444444,1,7,0,1,3,3,4,12,2,209.417101,3,1,0,0
228.162291,0,6.872843,610.044085,1120.547718,0,0.019324,2,1,699.053167,2.712946,1.896475,1,243.353413,0,0,1,1235.027948,71.558527,0,53.024537,1,?,0.872576,360.000036,0,0,0,3,0,2,4,4,3,6,2,78.622262,2,0,0,1
121.24105,0,?,0,93.102591,0,0,0,0,?,?,?,0,0,0,0,0,0,0,?,?,0,?,?,192.000019,0,0,0,0,0,3,3,1,1,6,5,18.628962,0,5,0,0
83.054893,0,?,19.776826,?,0,0.043478,6,0,?,?,?,0,?,0,?,0,0,0,?,?,0,?,?,100.00001,0,0,0,6,0,1,4,2,2,8,4,108.897881,1,5,1,0
180.429594,0,12.064774,246.830632,750.222096,106.666667,0.021739,10,3,366.034651,?,?,0,284.199836,0,0,0,100.384045,67.055545,0,54.64697,2,?,0.380862,363.200036,0,5.555556,0,8,0,4,1,0,4,3,7,7.654878,2,5,0,0
283.53222,30,2.526724,588.15421,2341.541997,0,0,?,3,5813.696934,?,?,0,1230.178494,0,0,0,0,1732.055022,?,50.586661,0,?,0.864895,2000.0002,0,0,0,4,0,2,1,1,2,4,3,20.163684,1,1,0,1
84.009547,0,?,116.878068,?,0,?,4,0,?,?,?,?,?,0,?,0,0,5.857639,?,?,?,?,?,8800.00088,?,0,0,2,0,2,5,1,0,3,3,89.70805,1,4,0,0
185.202864,0,20.880306,5.150559,37.904363,0,0.021739,8,0,334.923293,0,?,0,35.838006,0,0,0,47.150082,8.604584,0,54.631948,0,?,0.452647,73.556007,0,5.555556,0,3,0,0,9,3,0,5,4,88.389407,2,7,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,96.00001,?,?,?,2,?,1,5,2,3,2,2,52.798568,0,1,0,0
129.832936,0,22.470652,0.099049,?,?,0.065217,26,0,318.097763,?,33.13253,0,16.527776,3,0,0,?,?,0,54.982474,0,?,0.179041,92.400009,0,5.555556,?,5,0,6,2,2,4,5,2,100.680523,3,1,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,50.000005,?,?,?,2,?,0,2,2,3,3,8,37.479176,2,0,1,0
269.212411,30,?,97.563472,142.14136,0,0.021739,0,0,1255.248058,?,?,0,2.504208,0,0,0,0,0,0,50.10015,0,?,0.069071,12.000001,0,0,0,4,0,2,4,2,0,5,1,11.692367,5,6,1,0
359.904535,30,4.730145,2213.815879,4809.115999,1946.666667,0.006211,14,4,885.721315,?,?,1,189.874651,0,0,0,0,566.146482,0,51.351685,1,?,0.585652,425.000043,0,0,0,2,0,2,5,2,2,3,1,94.820135,0,0,0,1
196.658711,0,16.59423,216.059344,399.654123,120,0.016068,13,0,346.351955,29.882306,26.302952,2,315.975459,0,0,0,946.043576,92.066536,0,54.704056,2,2432.637441,2.059948,180.000018,0,27.777778,0,3,0,1,5,1,2,0,10,37.767107,1,2,1,0
187.112172,0,12.718425,71.084316,75.28754,0,0.026087,12,1,383.81257,7.085577,14.5917,0,126.879895,0,0,0,687.478611,13.784894,0,52.929394,0,?,3.729054,8.800001,0,0,0,7,0,1,5,3,2,7,5,133.346647,1,7,1,0
?,30,?,0,?,?,0.021739,8,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,10.000001,0,0,?,10,?,1,0,0,5,8,0,21.583606,2,7,0,0
?,30,?,91.257339,?,?,0.021739,15,0,1194.612656,0.615542,0.430293,?,2.003367,?,0,0,?,?,0,50.08942,?,?,0.023629,81.600008,0,0,?,1,0,3,1,2,1,12,3,90.179062,0,1,0,0
130.78759,0,?,0,47.285692,0,0.032609,1,1,?,?,?,0,?,2,?,0,0,0.263406,?,?,0,?,?,160.000016,0,0,0,5,0,1,6,2,3,1,0,81.740884,1,2,1,0
51.551313,0,?,0,?,0,?,10,?,?,?,?,?,?,3,?,0,0,0,?,?,?,?,?,16.000002,?,0,0,0,?,1,1,2,3,6,2,110.282191,0,1,0,0
136.515513,0,18.497701,372.06185,885.777573,0,0.065217,12,1,340.955087,?,?,0,471.347682,0,0,0,241.83429,85.757344,2,54.915185,2,?,1.039256,200.00002,0,5.555556,1,7,0,3,7,2,1,4,4,99.513938,0,0,0,0
55.369928,0,?,0,54.013717,0,0.043478,0,2,?,?,?,0,0,1,0,0,0,9.256826,?,?,1,?,?,82.708008,0,0,0,2,0,5,2,1,1,5,4,53.986435,3,1,1,0
156.563246,0,17.754455,189.811303,1661.964157,93.333333,0.025362,0,3,317.145374,0,0,0,401.730686,0,0,0,272.253698,64.158084,2,55.455684,4,?,1.00611,500.00005,0,11.111111,0,1,0,0,2,4,5,18,4,12.935547,5,3,0,0
155.608592,0,?,0,?,0,0.007246,4,1,?,?,?,0,?,0,?,0,0,0,?,?,0,?,?,240.000024,0,0,0,1,0,3,4,3,0,5,1,147.925687,5,4,1,0
134.606205,0,?,8.221084,83.484359,0,0.01087,1,1,?,30.959505,21.642124,0,10.795921,0,0,0,0,0,?,53.263228,1,?,0.096775,120.000012,0,0,0,8,0,2,4,2,3,8,3,153.224596,6,7,1,0
133.651551,0,13.131436,0.858426,26.059249,0,0.032609,11,1,1078.421257,?,?,0,198.722854,0,0,0,0,0,0,54.598565,0,?,1.570178,141.520014,0,5.555556,0,4,0,1,2,1,4,3,6,124.368331,2,1,0,0
?,0,?,0,?,?,?,0,3,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,120.000012,?,0,?,5,0,2,1,3,3,10,7,5.910339,0,1,0,0
73.508353,0,?,0,?,0,?,10,2,?,?,?,0,?,1,?,0,0,0,?,?,0,?,?,244.000024,?,0,0,2,0,0,2,1,2,11,0,19.472802,5,7,0,0
105.011933,0,?,6.570264,?,0,0.02795,3,?,?,?,?,?,?,3,?,0,0,0,?,?,?,?,?,200.00002,0,0,0,12,?,2,9,2,4,2,0,15.245175,1,4,1,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,160.000016,?,?,?,6,?,1,1,0,3,1,5,2.556265,5,2,1,0
143.198091,1,24.060997,37.308536,30.133968,0,0.021739,38,0,317.145374,?,35.475234,0,35.392813,0,0,0,339.176395,1.567891,0,55.333,0,?,0.373252,96.00001,0,5.555556,0,8,0,1,1,3,1,9,3,140.194347,2,8,0,0
214.797136,30,11.750019,36.252011,33.166317,0,0.021739,3,0,368.256891,24.805506,16.138629,0,48.303399,0,0,0,0,0,0,52.619554,0,?,0.541244,88.000009,0,5.555556,0,6,0,2,4,4,4,3,4,82.090431,6,1,0,0
212.887828,30,?,0,?,0,0.014493,27,?,?,?,?,?,?,0,?,0,0,0,?,?,?,?,?,48.000005,0,0,0,7,?,1,0,4,6,3,0,31.07082,2,1,1,0
163.245823,0,?,35.426601,559.089348,0,0.004348,2,7,?,?,?,0,0,0,0,0,0,504.296334,?,50.025038,2,2234.016101,0,496.00005,0,5.555556,0,2,0,1,3,2,1,9,4,83.891246,3,6,0,0
196.658711,0,21.277893,102.020686,163.462564,106.666667,0.019928,18,1,325.081945,0,?,0,21.202298,0,0,0,270.732728,74.731938,0,54.719579,1,?,0.146199,168.000017,0,5.555556,0,11,0,2,1,0,1,6,6,9.148167,1,2,1,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,280.000028,?,?,?,1,?,0,0,4,1,4,4,86.641663,4,2,1,1
134.606205,0,?,0,?,0,0.02657,12,?,?,?,?,?,?,1,?,0,0,0,?,?,0,?,?,180.000018,0,0,0,3,?,4,1,4,4,4,2,96.80772,0,0,1,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,196.00002,?,?,?,10,?,2,2,2,4,6,2,9.414285,1,3,1,0
?,0,?,0,?,?,?,10,1,?,?,?,0,?,2,?,0,?,?,?,?,0,?,?,128.000013,?,0,?,8,0,1,2,2,5,4,0,123.93516,2,3,0,0
121.24105,0,?,263.73503,127.927224,0,0.057971,?,2,?,?,?,0,106.567982,1,0,0,56.275904,11.326442,?,55.019508,1,?,0.764227,160.000016,0,0,0,8,0,1,4,1,2,2,7,187.370603,1,2,0,0
120.286396,0,?,0,?,0,0.054348,5,?,?,?,?,?,?,2,?,0,0,0,?,?,?,?,?,324.275032,0,0,0,0,?,3,6,2,4,2,2,37.76573,0,7,1,0
42.959427,0,?,0,?,0,?,20,2,?,?,?,0,?,1,?,0,0,0,?,?,0,?,?,80.000008,?,0,0,8,0,3,2,3,0,9,6,83.527098,3,1,0,0
139.379475,0,?,46.883293,23.690227,0,0.065217,1,1,?,?,?,0,?,2,?,0,0,0,?,?,0,?,?,320.000032,0,0,0,1,0,0,0,2,1,6,2,196.199617,0,3,0,0
146.062053,0,?,9234.324843,313.942883,0,0,3,3,?,?,?,0,0,0,0,0,0,0,?,?,1,?,?,480.000048,0,0,0,11,0,3,2,0,1,4,0,23.930644,4,1,0,0
143.198091,0,22.470652,17.663776,16.962202,34.666667,0.021739,1,1,317.7803,58.187175,?,0,19.811071,0,0,0,129.282482,15.177181,?,56.11109,0,?,0.091071,272.000027,0,11.111111,0,10,0,1,3,3,3,3,2,107.378489,1,1,0,0
188.066826,30,24.038278,284.997594,92.818308,0,0.016304,5,0,317.145374,?,22.070739,0,69.728293,0,0,0,0,0,0,55.327992,0,?,0.2778,320.000032,0,5.555556,0,2,0,2,10,2,6,11,4,133.632348,1,1,0,0
152.74463,0,?,13.338627,?,0,0.032609,18,0,?,9.027956,6.310958,0,3.672839,0,0,0,0,0,?,50.969311,0,?,0.028629,144.000014,0,0,0,1,0,1,7,5,1,2,6,136.088906,2,7,0,0
?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,300.00003,?,?,0,3,?,4,3,1,0,2,5,96.288316,1,2,1,0
220.52506,0,11.876503,180.236546,1171.813368,0,0.007246,4,3,346.034492,?,?,0,94.714729,0,0,0,0,0,0,54.424971,2,?,0.679224,160.000016,0,5.555556,0,3,0,1,3,1,1,6,3,82.726389,1,2,0,0
135.560859,0,?,99.280325,?,0,0.032609,11,?,?,?,?,?,?,0,?,0,0,0,?,?,?,?,?,140.000014,0,0,0,0,?,1,1,2,1,4,2,176.413966,3,0,0,0
257.756563,29,21.420867,1681.162243,2324.011229,0,0.003623,4,2,416.193779,?,?,0,761.668916,0,0,0,360.46998,154.481125,0,54.792665,2,2627.389229,2.874804,340.000034,0,11.111111,0,4,0,1,0,1,4,7,2,216.965716,1,9,0,1
118.377088,0,?,191.098943,1274.534191,?,0.043478,0,7,?,?,?,0,0,1,?,0,?,?,?,?,0,2468.8763,?,80.000008,0,0,?,3,0,0,2,1,3,2,3,37.605222,2,4,0,0
110.739857,0,?,118.760003,43.637397,0,0.007246,5,3,?,?,?,0,?,0,?,0,0,0,?,?,0,?,?,800.00008,0,0,0,5,0,3,4,2,1,2,3,40.811688,2,0,1,0
?,0,?,0,7.107068,?,?,19,0,?,?,?,0,?,1,?,0,?,?,?,?,0,?,?,100.00001,?,0,?,4,0,2,6,5,5,15,3,132.131492,2,0,0,0
?,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,80.000008,?,?,?,1,?,1,1,2,4,2,5,73.919973,2,8,0,0
57.279236,0,35.307013,33.973879,14.735321,0,0.021739,5,2,317.145374,?,?,0,17.306863,0,0,0,13.688733,6.233933,0,57.811718,0,?,0.103427,200.00002,0,5.555556,0,8,0,2,1,2,4,4,1,137.744436,1,1,0,0
245.346062,30,17.706397,169.73733,659.535909,0,0.014493,2,4,325.716871,?,?,1,436.400061,0,0,0,235.750409,37.102563,0,54.922384,1,2572.812065,2.235385,240.000024,0,22.222222,1,1,0,2,2,1,2,6,4,119.073984,0,3,0,1
126.01432,0,21.940537,0.759377,48.517584,0,0.014493,3,2,320.320003,?,?,0,55.704726,0,0,0,66.922697,19.140808,?,55.272909,1,?,0.234984,300.00003,0,16.666667,0,0,0,2,2,2,2,1,0,234.091993,1,9,0,0
40.095465,0,?,0,14.214136,0,0.032609,1,0,?,?,?,0,?,0,?,0,0,0,?,?,0,?,?,6.000001,0,0,0,9,0,0,1,1,0,0,0,53.523715,1,10,1,0
?,0,?,0,?,?,?,5,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,320.000032,?,0,?,1,?,0,3,1,2,4,2,1.760242,2,4,0,0
