@relation 'Crime1Train_trainData-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.8 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.344mvar_37-0.34mvar_1-0.333mvar_36-0.327mvar_28-0.316mvar_15... numeric
@attribute -0.359mvar_30-0.332mvar_16+0.306mvar_12-0.273mvar_2+0.261mvar_24... numeric
@attribute -0.282mvar_12-0.275mvar_25+0.274mvar_5+0.269mvar_29+0.267mvar_24... numeric
@attribute 0.365mvar_19+0.358mvar_25-0.346mvar_28+0.263mvar_34-0.241mvar_36... numeric
@attribute '0.498mvar_31+0.41 mvar_37+0.305mvar_39-0.226mvar_32-0.222mvar_2...' numeric
@attribute -0.419mvar_14+0.394mvar_33-0.34mvar_10-0.324mvar_40-0.302mvar_18... numeric
@attribute 0.364mvar_24+0.339mvar_27+0.291mvar_2+0.262mvar_21-0.242mvar_3... numeric
@attribute -0.41mvar_21-0.352mvar_27-0.316mvar_20+0.281mvar_40-0.268mvar_39... numeric
@attribute -0.514mvar_10-0.414mvar_33-0.386mvar_40-0.3mvar_21-0.21mvar_26... numeric
@attribute 0.523mvar_9-0.411mvar_6+0.388mvar_11-0.29mvar_35+0.251mvar_22... numeric
@attribute -0.518mvar_4-0.44mvar_13-0.354mvar_20+0.333mvar_23+0.264mvar_22... numeric
@attribute '0.461mvar_8+0.442mvar_35+0.43 mvar_7+0.294mvar_9+0.243mvar_11...' numeric
@attribute -0.441mvar_23-0.396mvar_20-0.33mvar_8-0.291mvar_9+0.269mvar_3... numeric
@attribute -0.474mvar_6-0.39mvar_22-0.382mvar_8-0.34mvar_4+0.318mvar_35... numeric
@attribute -0.53mvar_22+0.365mvar_11+0.341mvar_8-0.271mvar_35-0.256mvar_7... numeric
@attribute -0.377mvar_4+0.344mvar_7+0.334mvar_6-0.324mvar_23+0.294mvar_9... numeric
@attribute '-0.601mvar_13-0.341mvar_35+0.32 mvar_7+0.311mvar_6+0.283mvar_11...' numeric
@attribute 0.444mvar_23+0.432mvar_6+0.333mvar_13-0.313mvar_4+0.308mvar_11... numeric
@attribute '-0.525mvar_7+0.468mvar_9+0.39 mvar_35+0.222mvar_20+0.217mvar_6...' numeric
@attribute -0.451mvar_23-0.316mvar_4+0.273mvar_38-0.273mvar_33+0.251mvar_35... numeric
@attribute -0.474mvar_11-0.435mvar_22-0.435mvar_20+0.371mvar_9-0.223mvar_8... numeric
@attribute -0.351mvar_26+0.312mvar_20+0.296mvar_33-0.267mvar_4+0.259mvar_25... numeric
@attribute 0.592mvar_3-0.321mvar_38-0.296mvar_26-0.295mvar_5+0.207mvar_34... numeric
@attribute '-0.439mvar_21+0.435mvar_39+0.398mvar_27+0.36 mvar_40-0.295mvar_10...' numeric
@attribute '-0.465mvar_21+0.43 mvar_27-0.392mvar_39-0.361mvar_40-0.187mvar_8...' numeric
@attribute output {0,1,2}

@data

-3.467387,-1.686229,-1.655478,-1.785864,0.064371,0.586091,-0.723303,0.281944,1.262995,0.119997,0.225085,-1.234129,0.410936,0.438717,0.622692,-0.148394,0.311348,-0.002937,-0.164382,0.999276,0.396993,-0.714027,-0.154975,-0.362248,0.471687,0
1.792356,-1.425487,1.671305,-0.846619,0.065337,0.688985,1.426545,-1.677932,-1.572366,-0.371228,0.186149,0.086415,1.991043,1.384039,0.414219,-0.421237,0.61864,-0.031859,-0.908273,0.254733,0.496703,1.248986,-0.170669,2.334528,2.992855,0
0.539238,-0.520822,0.547669,0.223351,0.028109,0.27478,-0.487337,-0.119177,0.412543,0.397481,0.276354,0.410975,0.429684,0.958306,-1.573476,-0.321041,-0.189596,1.155897,0.34459,1.543143,-0.204591,-0.708564,0.41492,0.038844,-0.103044,0
0.068033,-0.051157,-0.028068,0.258134,-0.026212,0.549611,-0.253132,0.221212,-0.727849,0.246339,-0.384969,0.125939,0.676132,0.93109,-1.225995,0.589638,0.63959,-0.816104,-1.074089,-0.844005,0.117421,0.558771,-0.037372,-0.071607,0.359771,0
-0.875925,-0.525363,-0.332532,-1.341345,-0.516708,0.396476,-1.589953,1.01321,-2.008239,1.301492,-1.461548,-0.669673,0.667693,-1.629258,1.060412,-0.030591,-0.835191,1.051394,-0.016074,0.919021,1.671772,2.144844,-0.544686,0.712496,-0.752755,0
0.074624,-0.034164,-0.094637,0.142885,0.024582,0.357823,-0.21147,0.133184,-0.767548,0.022902,-0.214792,0.697911,0.324551,0.740632,-0.78497,1.790136,-0.934764,0.041851,0.291587,0.190415,0.816971,0.857339,-0.16426,-0.26376,0.231397,0
0.837093,-0.736582,0.833899,-0.68146,0.550029,0.879247,-0.251351,0.404631,-0.781088,-0.532976,-0.729559,-0.689561,0.698518,-0.493693,0.636604,0.277419,-0.213706,0.39096,-0.018016,-0.510732,0.503653,-0.039997,-0.12051,0.314716,0.565515,0
0.242133,0.045676,0.25825,-0.125141,0.202055,0.464067,-0.301622,-0.085207,0.221789,-0.273763,-0.036189,-0.891983,-0.3066,-0.005109,0.759512,-0.870647,1.392573,-0.387721,-0.365911,0.43813,0.374187,-0.904133,0.405942,0.123482,0.213383,0
1.596329,-0.751392,1.059133,-0.639428,0.754554,-0.698135,0.537216,-0.408945,-0.054863,0.495479,-0.959037,1.024434,-1.334828,-1.823843,-1.432907,0.764344,1.925235,0.254705,0.079132,-1.516608,1.326508,-0.47887,0.044512,-0.204279,0.56835,0
2.744229,-1.419309,4.052113,-2.923497,2.182717,-3.460929,1.230067,-0.125719,2.53704,-0.144752,0.451949,-0.181222,1.249611,1.674027,0.240614,0.513581,0.777916,-2.512163,-0.381899,-1.241566,-1.179151,0.919492,-1.096024,-0.77111,0.582169,0
0.64782,-0.274059,0.13529,-0.195072,0.292066,1.071474,-0.523979,0.275184,-0.652344,0.357022,0.617032,1.420604,0.07746,-0.920177,0.294031,0.89095,-0.989477,-0.424117,-0.439457,0.440255,-1.33909,0.659112,-0.146368,-0.061533,-0.198616,0
1.313014,-0.232186,0.133642,0.311217,0.207795,0.736374,-0.491225,0.030884,-0.725883,-0.705181,0.532848,0.616368,0.184608,1.454982,-0.778931,1.004332,0.194677,0.029482,0.275098,0.439541,0.360946,-0.024072,0.211983,-0.181056,0.576017,0
0.700317,0.14539,0.424208,-0.025947,0.221026,0.330798,-0.184585,-0.139472,0.382644,-0.825991,-0.579042,0.699582,-1.285724,-0.031725,0.209691,-1.489838,-0.004888,-1.812751,-0.687601,0.091285,0.131203,-0.707743,0.425487,0.063379,-0.250105,0
1.299227,-0.125364,0.45198,0.113898,0.490498,-0.242287,0.105385,-0.631757,-0.202044,0.253084,-1.047893,0.868022,-0.093061,-0.465587,0.770508,1.60038,0.977129,-0.544233,-1.782723,0.252676,0.044724,0.481583,-0.056644,-0.348884,-0.091466,0
