N_id,crime_a,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30,mvar_31,mvar_32,mvar_33,mvar_34,mvar_35,mvar_36,mvar_37,mvar_38,mvar_39,mvar_40
VLID_1,Crime 2,,,,1,0,1,5,149.26884715,1,0,140.33412888,5,No,0,0,0,0.0434782609,,380.000038,0,1,6,,0,0,0,0,1,,,34.601190737,Yes,,1,0,,,0,15
VLID_2,Crime 2,123.1891783,0,,2,0,1,3,24.746826021,1,0,172.79236277,3,No,0,16.666666667,0,0.052173913,24.022013982,80.000008,0,0,2,332.38359035,30,0,0,0,0,20.945218339,1.3608428446,33.148468988,No,30.081787353,1,0,113.85801138,54.792188282,180.99547511,16
VLID_3,Crime 1,,0,,3,0,3,2,23.811487619,0,0,211.93317422,4,No,0,0,0,0.0217391304,,200.00002,0,0,8,319.68507687,1,43.524643164,0,,0,22.682697956,3.9880809854,0,No,,1,,667.34373044,55.029210482,547.54933648,28
VLID_4,Crime 2,,,,3,,2,1,74.711186554,0,2,,3,No,,,,,,48.228004823,,1,10,,,,,,,,,,No,,6,,,,,11
VLID_5,Crime 2,82.91579309,0,,4,0,4,2,13.880387725,2,2,100.23866348,12,No,0,0,133.33333333,0.0063938619,,100.00001,0,0,2,409.84452258,0,12.066486087,0,0,0,13.852493325,0.261108514,40.21397931,Yes,,1,0,25.48727723,53.08295777,0,5
VLID_6,Crime 2,,,,2,,5,7,156.80177794,1,3,,0,No,,,,,,68.0000068,,0,3,,,,,,,,,,Yes,,3,,,,,
VLID_7,Crime 2,14.214135958,0,,2,0,0,0,135.32378834,2,7,137.47016706,1,No,0,5.5555555556,0,0.0869565217,29.451137885,1720.000172,0,0,11,328.5740363,0,2.4459093421,0,1,2,19.971537358,0.0119722244,1.1885905215,No,,1,0,14.691356307,54.431647471,229.66652724,27
VLID_8,Crime 2,947.65644433,,,0,0,1,9,145.07908068,1,3,217.66109785,6,No,0,0,0,0.0217391304,,125.0000125,0,0,1,,0,0,0,1,3,,0,0,No,,2,0,0,0,0,3
VLID_9,Crime 2,,,,4,0,3,11,105.04170651,2,2,,8,No,,0,,,,4.0000004,,3,3,,0,,,0,2,,,0,No,,2,0,,,,1
VLID_10,Crime 2,1897.5871504,0,,1,1,4,1,183.89153115,1,1,173.74701671,1,No,0,11.111111111,0,0.0380434783,31.659973226,380.000038,0,1,14,325.71687077,0,2.4082799676,0,1,6,21.471006069,0.1552588471,19.248563167,No,41.172950329,2,0,45.465295844,54.762143215,21.293585307,3
