@RELATION Crime1LData

@ATTRIBUTE mvar_1 NUMERIC
@ATTRIBUTE mvar_2 NUMERIC
@ATTRIBUTE mvar_3 NUMERIC
@ATTRIBUTE mvar_5 NUMERIC
@ATTRIBUTE mvar_12 NUMERIC
@ATTRIBUTE mvar_14 {0,1}
@ATTRIBUTE mvar_17 NUMERIC
@ATTRIBUTE mvar_18 NUMERIC
@ATTRIBUTE mvar_19 NUMERIC
@ATTRIBUTE mvar_20 NUMERIC
@ATTRIBUTE mvar_24 NUMERIC
@ATTRIBUTE mvar_25 NUMERIC
@ATTRIBUTE mvar_26 NUMERIC
@ATTRIBUTE mvar_27 NUMERIC
@ATTRIBUTE mvar_28 NUMERIC
@ATTRIBUTE mvar_29 NUMERIC
@ATTRIBUTE mvar_30 NUMERIC
@ATTRIBUTE mvar_32 NUMERIC
@ATTRIBUTE mvar_34 NUMERIC
@ATTRIBUTE mvar_36 NUMERIC
@ATTRIBUTE mvar_37 NUMERIC
@ATTRIBUTE mvar_38 NUMERIC
@ATTRIBUTE mvar_39 NUMERIC
@ATTRIBUTE mvar_40 NUMERIC
@ATTRIBUTE output {0,1,2}


@DATA
37.904362555,0,?,0,154.65393795,0,0,0.0652173913,?,260.000026,526.03592092,0,14.700542302,?,0,1,4.0112832749,63.721658513,?,0,7.9021689228,50.913870806,0,1,?
23.690226597,0,?,0,172.79236277,0,?,0.0217391304,25.502008032,160.000016,354.92345177,2,?,0,0,5,17.290669056,3.9289520016,?,0,21.202298307,53.840761142,?,5,?
1039.8114258,0,?,0,227.20763723,0,0,0.0043478261,?,120.000012,322.85970524,30,49.545343083,0,2,1,21.503521654,205.92330785,?,1,587.82119952,54.972458688,94.300163504,4,?
14.214135958,?,?,0,?,0,?,?,?,192.0000192,?,30,?,?,0,0,?,0,?,0,?,?,?,18,?
591.30805586,0,?,0,105.01193317,0,0,0.0144927536,?,400.00004,317.14537417,0,7.1119517792,0,1,1,22.452715647,936.87346216,?,0,209.18488015,55.753630446,118.63568957,6,?
?,?,?,0,185.20286396,0,0,0.0217391304,?,76.80000768,?,0,0,?,?,?,?,0,?,?,?,?,0,34,?
186.82112694,0,?,0,90.692124105,0,149.06666667,0.0310559006,?,75.0000075,317.14537417,0,32.461607063,?,0,1,23.084070894,315.76888187,20.17864663,0,159.65720169,55.117676515,205.33100118,36,?
?,?,?,?,?,0,?,?,?,24.0000024,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1451.0263791,0,2433.0929678,0,173.74701671,0,1333.3333333,0.0158102767,?,252.0000252,337.1455329,0,177.12146574,0,3,1,14.272881624,507.49513627,?,3,453.15043337,54.611917877,101.9050154,14,?
2970.9913175,0,?,0,372.3150358,0,13760,0.0130434783,?,3600.00036,1460.0115874,30,1352.5878662,?,1,3,2.5984501384,2018.8870336,?,0,499.8400089,51.090922097,0,0,?
203.73594873,0,?,0,162.29116945,1,0,0.0072463768,17.179830433,100.00001,373.33629632,0,18.526195375,?,0,1,17.759754188,38.860306772,24.576102134,0,173.79206722,54.047738274,47.150081752,17,?
47.380453194,0,?,0,166.1097852,0,0,0.0108695652,6.4591700134,140.000014,401.90795165,30,33.226737677,0,0,2,20.17914405,88.748092271,9.2399760622,0,319.20310522,54.6633676,167.3067417,3,?
?,?,?,0,252.02863962,0,0,0,?,132.0000132,?,30,0,?,?,?,?,13.734823804,?,?,?,?,0,?,?
10935.977163,0,?,0,330.31026253,0,1333.3333333,0.0134575569,0,240.000024,366.98703958,30,136.61971566,0,13,1,5.4786583263,3984.7827397,0,7,277.5219466,51.237292832,2016.8067227,10,?
28.428271916,?,?,0,188.06682578,0,0,0.0054347826,?,72.0000072,?,29,0,0,0,0,?,0.6273116641,?,0,0,?,0,?,?
1202.3263803,1,?,0,212.88782816,0,0,0.0016722408,?,176.0000176,523.49621822,0,100.50805927,?,3,7,10.848853489,318.9384566,?,1,851.87606951,55.456714483,100.38404502,?,?
?,?,?,?,?,0,?,?,?,48.0000048,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14.214135958,?,?,0,?,0,?,?,?,80.000008,?,0,?,?,0,0,?,0,?,0,0,?,?,5,?
2628.1937387,0,?,0,363.72315036,0,0,0.0031055901,?,400.00004,815.56202827,30,60.934500429,0,2,3,?,4185.4894558,?,1,0,50.025037556,0,0,?
3359.2741315,0,?,0,140.33412888,0,0,0.0217391304,?,76.0000076,?,0,0,0,4,5,?,165.08201687,?,0,0,?,0,1,?
94.760906388,0,?,0,247.25536993,1,400,0.0217391304,0.2008032129,380.000038,474.92440416,30,32.988418306,0,0,0,9.7478870555,44.638177362,?,0,36.060601845,52.178267401,0,18,?
15.588169101,0,?,0,106.92124105,0,0,0.1086956522,?,160.000016,317.14537417,0,2.0319862226,0,0,0,24.894035651,0,?,0,18.308546307,55.516608246,19.772614928,6,?
35.535339896,?,?,0,28.639618138,0,0,0.0434782609,?,260.000026,?,0,0,?,0,5,?,0,?,0,?,?,0,0,?
273.0061713,?,?,1,?,0,?,0.0652173913,?,336.0000336,?,0,?,?,1,0,?,114.03865726,?,0,?,?,?,?,?
231.21661159,0,?,0,129.83293556,0,0,0.0163043478,?,144.0000144,990.8015143,0,0,0,3,2,12.735002406,120.60892153,?,0,151.19854199,52.836653203,0,0,?
274.80662853,0,2468.855864,0,193.7947494,0,0,0.0163043478,12.03145917,114.0000114,351.11389773,0,16.444036654,0,1,1,10.283411595,1429.0489873,?,0,176.68581922,53.960941412,1.5209703791,7,?
120.82015564,0,?,0,279.71360382,0,480,0.0217391304,?,120.000012,848.89562616,30,25.362198408,0,0,0,1.5563450233,77.68759714,4.5960502693,0,10.962868153,50.505758638,0,9,?
52.118498513,0,?,0,186.1575179,0,0,0.0289855072,?,230.80002308,388.25704966,0,6.7607442839,0,0,1,12.519632248,21.262563773,?,0,15.35914523,52.789183776,176.43256398,24,?
42.831929687,0,?,0,50.596658711,0,80,0.0217391304,36.702365016,99.20000992,317.14537417,0,7.4129867752,0,0,0,24.894035651,0,?,0,18.308546307,55.516608246,0,29,?
433.53114673,0,?,0,203.34128878,0,0,0.0149456522,7.386548165,325.0000325,320.0025397,0,39.33523947,0,1,1,9.1231084259,846.2764513,6.7796882468,0,434.73058891,54.882323485,34.982318719,21,?
112.0547718,?,?,0,140.33412888,0,0,0,?,128.0000128,?,0,0,?,0,5,?,0,?,0,0,?,0,0,?
265.33053789,0,?,0,182.33890215,0,0,0.0144927536,30.922138165,160.000016,342.85986397,0,15.553474791,0,0,1,19.7822105,321.97596571,8.6175942549,0,235.84078799,54.93114672,469.97984714,3,?
?,?,?,?,?,1,?,?,?,29.936002994,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9.0022861069,0,?,0,137.47016706,0,?,0.0543478261,17.402945114,128.0000128,351.43136057,0,?,0,0,1,11.792617116,3.5657715645,?,0,17.362511999,53.229844767,?,30,?
?,?,?,1,?,0,?,?,?,6.0000006,?,0,?,?,?,?,?,0,?,?,?,?,?,0,?
33.640121768,?,?,0,-9.546539379,0,0,?,?,100.00001,?,0,0,?,0,1,?,0,?,0,39.510844614,?,0,18,?
455.89472063,0,?,0,106.92124105,0,0,0.047826087,?,178.75001788,326.98672212,0,11.238639849,0,2,1,19.643957865,197.76825621,?,0,508.24301952,54.825571691,118.63568957,7,?
378.56982102,0,2466.3020156,0,222.43436754,0,0,0.0027173913,?,104.0000104,330.16135049,0,69.940464058,?,2,2,20.880306273,377.97178583,?,0,226.10219953,54.895676849,86.695311609,0,?
23.690226597,0,?,0,237.70883055,0,0,0.0217391304,?,75.816007582,380.63794157,30,10.310448611,0,0,0,13.610154947,6.6032806749,?,0,16.694723076,53.029544316,50.19202251,?,?
?,?,?,1,114.55847255,0,0,0.0072463768,?,128.0000128,?,0,0,?,?,?,?,308.53828954,?,?,?,?,0,13,?
23.690226597,?,?,0,62.052505967,0,0,?,?,200.00002,?,0,0.6271562416,0,0,1,?,0,?,0,?,?,0,1,?
263.48270021,0,?,0,98.329355609,0,186.66666667,0.0228832952,21.948258149,110.000011,317.14537417,0,72.75012402,0,1,0,21.152936948,36.97837178,1.025904078,1,286.09190445,55.439826406,295.06825355,8,?
?,?,?,?,?,0,?,?,?,88.0000088,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
1381.1402106,0,?,0,294.03341289,0,0,0.0253623188,?,148.0000148,1269.5338852,30,29.764835224,0,1,1,?,495.21303422,?,1,0,50.025037556,211.4148827,0,?
