@RELATION Crime2LData

@ATTRIBUTE mvar_1 NUMERIC
@ATTRIBUTE mvar_2 NUMERIC
@ATTRIBUTE mvar_3 NUMERIC
@ATTRIBUTE mvar_5 NUMERIC
@ATTRIBUTE mvar_12 NUMERIC
@ATTRIBUTE mvar_14 {0,1}
@ATTRIBUTE mvar_15 NUMERIC
@ATTRIBUTE mvar_17 NUMERIC
@ATTRIBUTE mvar_18 NUMERIC
@ATTRIBUTE mvar_19 NUMERIC
@ATTRIBUTE mvar_20 NUMERIC
@ATTRIBUTE mvar_21 NUMERIC
@ATTRIBUTE mvar_24 NUMERIC
@ATTRIBUTE mvar_25 NUMERIC
@ATTRIBUTE mvar_26 NUMERIC
@ATTRIBUTE mvar_27 NUMERIC
@ATTRIBUTE mvar_28 NUMERIC
@ATTRIBUTE mvar_29 NUMERIC
@ATTRIBUTE mvar_30 NUMERIC
@ATTRIBUTE mvar_32 NUMERIC
@ATTRIBUTE mvar_34 NUMERIC
@ATTRIBUTE mvar_36 NUMERIC
@ATTRIBUTE mvar_37 NUMERIC
@ATTRIBUTE mvar_38 NUMERIC
@ATTRIBUTE mvar_39 NUMERIC
@ATTRIBUTE mvar_40 NUMERIC
@ATTRIBUTE output {0,1,2}


@DATA
47.380453194,0,?,0,?,0,?,?,0.0217391304,3.5269282257,60.000006,0,599.36983627,30,?,0,0,0,2.5004549524,38.398077125,4.1492120487,0,7.6239235382,50.580871307,?,24,?
8.3863402153,0,?,0,164.20047733,0,0,0,0.0108695652,?,200.00002,0,?,0,0,?,0,8,?,382.23090187,?,0,0,?,0,0,?
1080.1321915,0,?,0,191.88544153,0,1,0,0.0043478261,?,124.0000124,0,317.14537417,0,127.23745829,?,1,4,19.903534241,868.39744156,?,1,1104.8011241,55.073479785,252.48108293,0,?
?,?,?,2,?,0,?,?,?,?,300.00003,?,?,0,?,?,?,?,?,0,?,?,?,?,?,0,?
9.4760906388,0,?,1,?,0,?,?,0.0217391304,20.414993307,112.0000112,0,341.90747546,0,?,0,0,0,13.837347176,2.5752794632,?,0,6.7891873844,53.079619429,?,1,?
?,?,?,0,?,0,?,?,?,?,88.0000088,?,?,0,?,?,0,2,?,0,?,0,?,?,?,11,?
?,?,?,?,?,0,?,?,?,?,100.00001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11,?
?,0,?,?,297.85202864,1,0,0,0.0217391304,?,130.000013,0,783.81574457,30,18.388221002,0,?,0,?,0,?,?,1.6694723076,50.125187782,611.4300924,0,?
?,?,?,0,127.92362768,0,0,0,0.0163043478,?,200.00002,0,?,0,0,?,0,1,?,224.44551014,?,0,?,?,0,8,?
618.69395781,1,?,0,184.24821002,0,1,0,0.0141304348,?,140.000014,0,320.63746538,0,104.09539297,0,2,2,19.90620103,326.13603253,40.654269892,1,274.23865107,55.082623936,276.816609,2,?
?,?,?,1,45.823389021,0,0,0,?,?,18.0000018,?,?,0,0,?,0,2,?,77.456482317,?,0,?,?,0,0,?
199.47170795,0,?,0,218.61575179,0,0,0,0.0130434783,?,140.000014,0,?,0,7.8896255187,?,1,1,?,269.87608118,0,0,96.050306766,53.314062002,16.73067417,0,?
11.845113299,?,?,1,57.279236277,0,0,0,0.1304347826,?,160.000016,0,?,0,0.6773287409,?,1,1,?,44.572144556,?,0,?,?,0,0,?
?,?,?,1,130.7875895,0,0,0,0.0217391304,?,112.0000112,0,?,0,0,?,?,0,?,0,?,?,?,?,0,0,?
?,0,?,0,149.88066826,0,0,0,0.027173913,5.3547523427,200.00002,0,?,0,0,?,0,1,?,49.656670675,7.6600837822,?,4.897118769,51.493907528,0,26,?
47.380453194,0,?,0,234.84486874,1,0,266.66666667,0.0217391304,?,80.000008,0,317.14537417,30,72.674865271,0,0,0,16.215292506,31.662730836,?,0,75.738393689,55.127691537,0,13,?
923.91883728,0,?,0,315.99045346,0,0,0,0,?,280.000028,0,823.18113636,30,96.619690574,?,1,2,19.313316881,632.56127225,?,0,506.74049444,54.286570042,0,?,?
47.380453194,0,?,0,256.80190931,0,0,0,0.0217391304,0.4462293619,160.000016,0,359.05046865,30,21.825037206,0,0,0,19.698906683,180.0054312,0.6383403152,0,51.197150767,54.371557336,200.76809004,6,?
?,0,?,0,76.372315036,0,0,0,0.0217391304,?,104.0000104,0,323.49463091,0,0,0,0,1,22.652405659,0,?,0,555.37778767,55.022533801,0,0,?
380.46503915,0,?,0,267.30310263,0,0,200,0.0217391304,25.46184739,260.000026,0,435.24154954,30,48.454091222,0,1,3,15.374420118,77.159334686,?,0,273.40391491,53.834752128,223.58264573,2,?
?,?,?,0,19.093078759,0,?,?,?,?,62.40000624,?,?,0,?,?,0,?,?,0,?,?,?,?,?,14,?
2.3690226597,?,2272.4429199,2,108.83054893,0,0,0,0.0326086957,?,80.000008,0,?,0,0,1,1,1,?,368.8262421,?,0,?,?,0,3,?
123.56822193,0,?,0,188.06682578,0,0,0,0.027173913,?,128.0000128,0,317.14537417,0,0.740044365,0,0,1,22.879597888,98.653013283,0,0,56.094269536,55.072608913,54.754933648,4,?
120.82015564,0,?,0,272.07637232,1,0,0,0.0144927536,0,88.0000088,0,?,30,23.606160932,?,0,?,?,256.53745422,12.73018022,?,45.131401383,51.875034774,120.15665995,3,?
?,?,?,?,?,1,?,?,?,?,4.80000048,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?
1364.557052,0,?,0,235.79952267,0,0,0,0,?,49.728004973,0,819.37158231,30,46.083440629,?,1,5,10.46670837,433.70347473,?,0,626.83120244,53.448172258,127.76151184,?,?
1480.7813037,0,?,0,281.62291169,0,0,1733.3333333,0.0019762846,?,128.0000128,0,1110.8024667,1,57.761089847,0,2,1,?,420.39786417,?,0,14.134865538,51.121682524,0,0,?
?,?,?,?,?,0,?,?,?,?,80.000008,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
2235.4571621,0,?,0,188.06682578,0,2,0,0.0108695652,?,224.0000224,0,317.14537417,0,208.45419157,0,4,3,19.059326135,168.2515916,?,2,1542.3141669,55.109330663,220.54070497,?,?
113.38142449,?,?,0,78.281622912,0,0,0,?,?,400.00004,?,?,0,0,?,1,2,?,0,?,0,0,?,0,1,?
83.200075809,?,?,1,85.918854415,0,0,0,0.0362318841,?,90.000009,0,?,0,0,?,0,?,?,0,?,?,?,?,0,17,?
684.78969001,0,?,0,127.92362768,0,0,0,0.0113043478,?,235.06002351,2,336.19314439,0,37.616831368,0,3,1,20.173486006,239.43495727,0,0,295.6078966,54.636955433,89.737252367,5,?
1440.8395816,0,2445.2648757,0,261.575179,0,1,0,0.009057971,8.3668005355,392.0000392,0,317.14537417,30,187.1057931,0,2,4,18.838565584,1055.8315635,4.7875523639,1,1173.3607869,55.046082637,0,2,?
125.46344006,?,?,0,?,0,?,?,?,?,208.0000208,?,?,30,?,?,0,6,?,0,?,0,?,?,?,7,?
714.54461462,1,2514.1712636,0,157.51789976,0,0,0,0.0054347826,?,280.000028,0,317.14537417,1,42.195071932,?,1,3,23.244187322,135.36725384,?,0,239.34667984,55.643465198,118.63568957,0,?
?,?,?,0,?,0,?,?,?,?,34.080003408,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?
119.96730749,0,2435.655186,0,172.79236277,0,1,26.666666667,0.0190217391,?,230.000023,0,317.14537417,0,63.167176649,0,1,1,22.58424799,848.68664874,19.510915455,0,119.53421723,55.049240527,199.24711966,3,?
?,?,?,2,30.548926014,0,0,79.733333333,0.2173913043,?,120.000012,0,?,0,5.9203549203,0,0,0,?,11.720823198,?,0,?,?,0,8,?
47.380453194,?,?,0,105.01193317,0,0,0,0.0282608696,?,500.00005,0,?,0,8.6045836341,?,0,1,?,0,?,0,0,?,0,34,?
714.11819054,0,?,0,154.65393795,0,1,66.666666667,0.0081521739,11.311914324,315.0000315,0,326.03433361,0,68.096624708,?,3,3,17.173313646,591.15870242,16.18192699,0,77.35221692,54.698714739,0,14,?
?,?,?,0,?,0,?,?,?,?,100.00001,?,?,0,?,?,?,?,?,0,?,?,?,?,?,2,?
?,?,?,?,?,0,?,?,?,?,7.20000072,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,1,?,?,?,?,128.0000128,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
377.81173377,0,?,0,169.92840095,0,0,133.33333333,0.0059288538,?,220.000022,0,1303.1849459,0,34.89497328,0,1,0,8.5846628433,244.15630296,?,0,145.6336343,53.855783676,1072.2841173,2,?
?,?,?,0,92.601431981,0,0,0,?,?,192.0000192,?,?,0,0,?,0,3,?,0,?,0,?,?,0,3,?
23.690226597,?,?,0,172.79236277,0,0,0,0,?,225.0000225,0,337.78045858,0,0,?,0,3,?,2.1460662193,?,0,24.207348461,0,0,?,?
?,?,?,0,103.1026253,0,0,0,0.0289855072,?,140.000014,0,?,0,0.815303114,0,0,0,?,17.432660982,?,0,?,?,0,10,?
379.04362555,0,?,0,293.07875895,0,0,0,0.0027173913,0,220.000022,0,1097.4690275,30,253.27077659,?,0,4,11.52907413,805.03896348,0,0,141.45995353,52.570856284,2276.8926575,2,?
1702.0480201,0,?,0,195.70405728,0,0,453.33333333,0.0155279503,31.124497992,382.50003825,0,317.14537417,0,7.6011336476,0,2,4,13.930028483,116.25075628,27.235853448,0,987.10332642,55.274912369,0,26,?
?,?,?,0,59.188544153,0,0,0,0.0652173913,?,180.000018,0,?,0,0,?,?,?,?,0,?,?,?,?,0,0,?
758.0872511,0,?,0,261.575179,0,0,0,0.0024154589,?,300.00003,0,634.60821118,30,43.838221285,?,0,1,15.055097523,367.17542193,?,0,381.08487875,53.348022033,1650.2528613,4,?
?,?,?,0,307.39856802,1,0,0,0.0217391304,?,160.000016,0,?,30,0,?,?,?,?,105.98265483,?,?,?,?,0,?,?
27.859706478,0,?,0,-7.637231504,0,0,0,0.152173913,39.357429719,120.000012,0,317.14537417,0,2.6465993394,0,0,0,26.696427334,0,?,0,32.72165723,55.913870806,222.06167535,15,?
?,?,?,0,?,0,?,?,0.0652173913,?,4.0000004,0,?,0,?,?,?,?,?,9.343642155,?,?,?,?,?,2,?
?,?,?,0,147.97136038,0,0,0,0.0173913043,?,140.000014,0,?,0,0,?,0,2,?,0,?,0,?,?,0,2,?
?,?,?,2,63.007159905,0,0,0,?,?,128.0000128,?,?,0,0,?,0,1,?,0,?,0,?,?,0,11,?
721.60430215,0,?,0,314.08114558,0,0,0,0.0117056856,0.3790261447,172.0000172,0,565.71877555,30,66.779596601,0,1,0,1.146389268,515.88130273,?,1,16.917319384,50.282423635,0,1,?
?,?,?,0,40.095465394,0,?,?,?,?,22.0000022,?,?,0,?,?,0,2,?,0,?,0,?,?,?,1,?
478.54257726,0,?,0,191.88544153,0,0,0,0.0144927536,?,260.000026,0,328.25657346,0,9.2944554998,0,1,1,14.051917615,201.99435585,?,0,62.048720767,54.448339175,57.796874406,1,?
232.16422065,0,?,0,168.97374702,0,0,0,0.0326086957,?,168.0000168,0,?,0,0,?,1,1,?,24.234040077,?,0,0,50.025037556,0,10,?
?,0,?,1,143.19809069,0,0,0,0.0434782609,?,240.000024,0,2246.0495718,0,10.686742356,?,0,2,0.786415803,0,?,0,12.46539323,50.203082401,173.39062322,14,?
?,?,?,1,36.276849642,0,0,0,?,?,96.0000096,?,?,0,0,?,0,1,?,0,?,0,?,?,73.006578197,0,?
14.214135958,0,?,0,158.4725537,0,0,0,0.0652173913,?,300.00003,0,326.03433361,0,0,0,0,0,20.577383301,0.9244592945,?,0,15.136548922,54.565181105,0,3,?
216.90771472,0,?,0,186.1575179,0,0,0,0.0054347826,?,320.000032,0,317.14537417,1,25.111335912,0,0,3,15.878803573,5.5467557669,?,0,540.57513321,55.186868353,144.49218601,?,?
189.52181278,0,?,1,188.06682578,0,0,0,0,?,340.000034,0,438.09871507,0,60.683637933,?,0,4,10.909733073,76.432973812,?,0,139.1226923,53.437346655,0,2,?
