N_id,crime_a,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30,mvar_31,mvar_32,mvar_33,mvar_34,mvar_35,mvar_36,mvar_37,mvar_38,mvar_39,mvar_40
SID_1,Crime 2,47.380453194,0,,4,0,13,9,132.85919315,1,0,,12,No,,0,,0.0217391304,3.5269282257,60.000006,0,2,1,599.36983627,30,,0,0,0,2.5004549524,0.1093463165,38.398077125,No,4.1492120487,1,0,7.6239235382,50.580871307,,24
SID_2,Crime 2,8.3863402153,0,,2,0,0,5,56.497677158,2,4,164.20047733,2,No,0,0,0,0.0108695652,,200.00002,0,4,6,,0,0,,0,8,,,382.23090187,No,,4,0,0,,0,0
SID_3,Crime 2,1080.1321915,0,,4,0,1,3,8.1697840066,1,4,191.88544153,2,No,1,22.222222222,0,0.0043478261,,124.0000124,0,0,0,317.14537417,0,127.23745829,,1,4,19.903534241,9.6619744631,868.39744156,No,,1,1,1104.8011241,55.073479785,252.48108293,0
SID_4,Crime 2,,,,8,2,3,10,45.128320781,4,4,,5,No,,0,,,,300.00003,,1,8,,0,,,,,,,0,No,,1,,,,,0
SID_5,Crime 2,9.4760906388,0,,3,1,1,1,46.426331012,0,1,,9,No,,0,,0.0217391304,20.414993307,112.0000112,0,2,4,341.90747546,0,,0,0,0,13.837347176,0.0640619027,2.5752794632,No,,1,0,6.7891873844,53.079619429,,1
SID_6,Crime 1,37.904362555,0,,0,0,1,6,104.78740802,5,3,154.65393795,7,No,0,0,0,0.0652173913,,260.000026,0,2,14,526.03592092,0,14.700542302,,0,1,4.0112832749,0.0377790193,63.721658513,No,,3,0,7.9021689228,50.913870806,0,1
SID_7,Crime 1,23.690226597,0,,3,0,2,5,10.123820715,3,8,172.79236277,2,No,,5.5555555556,,0.0217391304,25.502008032,160.000016,0,0,6,354.92345177,2,,0,0,5,17.290669056,0.1520472504,3.9289520016,No,,0,0,21.202298307,53.840761142,,5
SID_8,Crime 2,,,,2,0,2,4,61.842140549,0,4,,2,No,,0,,,,88.0000088,,2,17,,0,,,0,2,,,0,No,,2,0,,,,11
SID_9,Crime 2,,,,3,,1,2,68.685763294,0,4,,2,No,,,,,,100.00001,,0,5,,,,,,,,,,No,,3,,,,,11
SID_10,Crime 2,,0,,2,,4,9,32.954677176,1,4,297.85202864,7,Yes,0,0,0,0.0217391304,,130.000013,0,2,0,783.81574457,30,18.388221002,0,,0,,0.0140849699,0,No,,1,,1.6694723076,50.125187782,611.4300924,0
SID_11,Crime 2,,,,3,0,1,1,191.18026364,1,0,127.92362768,9,No,0,0,0,0.0163043478,,200.00002,0,1,2,,0,0,,0,1,,,224.44551014,Yes,,4,0,,,0,8
SID_12,Crime 2,618.69395781,1,,2,0,8,1,80.730145596,4,2,184.24821002,10,No,1,33.333333333,0,0.0141304348,,140.000014,0,1,2,320.63746538,0,104.09539297,0,2,2,19.90620103,2.185152668,326.13603253,Yes,40.654269892,0,1,274.23865107,55.082623936,276.816609,2
SID_13,Crime 2,,,,1,1,2,1,78.895838708,3,5,45.823389021,2,No,0,0,0,,,18.0000018,,0,15,,0,0,,0,2,,,77.456482317,No,,1,0,,,0,0
SID_14,Crime 2,199.47170795,0,,1,0,6,7,89.985913672,1,4,218.61575179,5,No,0,0,0,0.0130434783,,140.000014,0,2,10,,0,7.8896255187,,1,1,,0.7653355327,269.87608118,Yes,0,2,0,96.050306766,53.314062002,16.73067417,0
SID_15,Crime 2,11.845113299,,,1,1,3,6,45.219680318,4,0,57.279236277,2,No,0,0,0,0.1304347826,,160.000016,0,3,2,,0,0.6773287409,,1,1,,,44.572144556,No,,1,0,,,0,0
SID_16,Crime 2,,,,1,1,3,9,1.0215762219,4,1,130.7875895,12,No,0,0,0,0.0217391304,,112.0000112,0,3,12,,0,0,,,0,,,0,Yes,,0,,,,0,0
