@RELATION Crime1TrainData

@ATTRIBUTE mvar_1 NUMERIC
@ATTRIBUTE mvar_2 NUMERIC
@ATTRIBUTE mvar_3 NUMERIC
@ATTRIBUTE mvar_5 NUMERIC
@ATTRIBUTE mvar_12 NUMERIC
@ATTRIBUTE mvar_14 {0,1}
@ATTRIBUTE mvar_17 NUMERIC
@ATTRIBUTE mvar_18 NUMERIC
@ATTRIBUTE mvar_19 NUMERIC
@ATTRIBUTE mvar_20 NUMERIC
@ATTRIBUTE mvar_24 NUMERIC
@ATTRIBUTE mvar_25 NUMERIC
@ATTRIBUTE mvar_26 NUMERIC
@ATTRIBUTE mvar_27 NUMERIC
@ATTRIBUTE mvar_28 NUMERIC
@ATTRIBUTE mvar_29 NUMERIC
@ATTRIBUTE mvar_30 NUMERIC
@ATTRIBUTE mvar_32 NUMERIC
@ATTRIBUTE mvar_34 NUMERIC
@ATTRIBUTE mvar_36 NUMERIC
@ATTRIBUTE mvar_37 NUMERIC
@ATTRIBUTE mvar_38 NUMERIC
@ATTRIBUTE mvar_39 NUMERIC
@ATTRIBUTE mvar_40 NUMERIC
@ATTRIBUTE output {0,1,2}

@DATA
?,?,?,0,60.14319809,0,0,0.086956522,?,100.00001,?,0,0,1,0,0,?,0,?,0,?,?,0,9,0
539.0947964,0,?,0,95.4653938,0,0,0.007246377,?,240.000024,326.3517964,0,9.056136128,?,1,4,22.36841537,277.2057227,?,0,109.6843306,54.95993991,97.34210426,6,0
?,?,?,0,70.64439141,0,?,?,?,200.00002,?,0,?,?,0,1,?,0,?,0,?,?,?,1,0
?,?,?,0,29.59427208,0,?,0.043478261,?,40.000004,?,0,?,?,?,?,?,0,?,?,?,?,?,6,0
?,?,?,0,?,0,?,?,?,140.000014,?,0,?,?,?,?,?,0,?,?,?,?,?,5,0
?,?,?,1,34.36754177,0,0,?,?,240.000024,?,0,0,?,0,0,?,0,?,0,?,?,0,14,0
?,?,?,3,83.0548926,0,?,0.282608696,?,130.000013,?,0,?,?,0,2,?,0,?,0,?,?,?,7,0
?,?,?,0,102.1479714,0,0,0.014492754,?,92.0000092,?,0,0,?,?,?,?,0,?,?,?,?,0,7,0
47.38045319,?,?,0,107.875895,0,0,0.02173913,?,120.000012,?,0,0,?,0,1,?,270.9656225,?,0,?,?,0,8,0
?,?,?,0,149.8806683,0,0,0.02173913,?,168.0000168,?,0,0,?,0,?,?,206.4845867,?,?,?,?,0,9,0
4.738045319,?,?,1,?,0,0,?,?,67.20000672,?,0,0,?,0,1,?,0,?,0,?,?,0,10,0
159.9090295,0,?,0,228.1622912,0,133.3333333,0.007246377,?,700.00007,412.3842253,0,28.49797962,?,1,2,2.750366404,126.5188577,?,0,3.394593692,50.63595393,0,44,0
71.07067979,0,2408.516717,0,324.5823389,0,400,0.004658385,?,240.000024,583.8141573,30,47.48827061,?,0,7,11.030231,821.3820832,?,0,168.7280012,52.53461219,0,2,1
?,?,?,?,?,0,?,?,?,244.0000244,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
?,?,?,1,30.54892601,0,?,?,?,128.0000128,?,0,?,?,?,?,?,0,?,?,?,?,?,3,0
?,?,?,?,?,0,0,?,?,320.000032,?,?,24.05771343,?,?,?,?,?,?,?,?,?,66.92269668,?,1
85.28481575,0,?,0,224.3436754,0,0,0.02173913,16.69641529,48.0000048,410.4794483,30,6.020699919,0,0,0,13.57986265,29.78079584,?,0,49.97287108,53.56034051,439.5604396,6,0
?,0,?,4,85.91885442,0,0,0.239130435,37.14859438,72.0000072,317.1453742,0,0,0,0,1,25.19695862,0,?,0,18.53114262,55.58337506,0,17,0
14.21413596,?,?,0,122.1957041,0,0,?,?,76.80000768,?,0,0,?,0,?,?,0,?,?,?,?,0,8,0
54.48752117,0,?,0,195.7040573,0,0,0.013043478,?,112.0000112,333.3359789,0,13.74726482,1,0,2,18.15399953,125.2972508,1.675643327,0,31.55302661,54.18127191,0,0,0
?,?,?,0,?,0,?,?,?,160.000016,?,0,?,?,?,0,?,0,?,?,?,?,?,5,0
277.1756512,0,2422.321415,0,180.4295943,0,0,0.01863354,?,234.4000234,343.1773268,0,14.58765418,0,2,1,18.81895239,64.21690456,?,1,105.1767554,54.44500084,196.2051789,7,1
1191.334115,0,?,0,150.8353222,0,906.6666667,0.010869565,?,1572.000157,339.0503099,0,264.8731671,0,2,5,20.37574439,983.5916729,?,0,407.1842958,54.9309258,1616.791513,4,0
?,0,?,0,202.3866348,0,0,0.02173913,0,84.0000084,?,30,0,?,?,?,?,13.20656135,0,?,35.67105831,54.03730596,0,4,0
60.50483873,0,?,0,113.6038186,0,0,0.02173913,?,150.000015,?,0,0,?,0,3,?,0,?,0,0,?,0,5,0
132.6652689,0,?,0,222.4343675,0,0,0.02173913,17.57028112,320.000032,347.3043437,30,25.18659466,0,0,0,19.07899646,14.72531591,?,0,130.9979271,54.3565348,438.0394692,13,0
3127.157291,0,?,0,334.1288783,0,7333.333333,0,?,1200.00012,4920.356511,30,93.84765999,?,1,6,1.364080731,1331.320433,?,0,93.323502,50.3304047,0,?,1
23.6902266,0,?,0,157.5178998,0,0,0.059782609,26.98293173,232.0000232,329.208962,0,3.411729954,0,1,2,20.22144881,13.93292222,?,0,61.60352815,54.65197797,34.98231872,20,0
784.6203049,0,?,0,205.2505967,0,0,0.014492754,?,119.504012,858.1020484,0,53.88526427,?,1,3,18.82648852,344.9883989,0,0,461.6647421,54.1792689,860.8692346,0,0
16.10935409,?,?,0,153.699284,0,0,0.02173913,?,50.000005,?,0,0,?,0,?,?,13.63577459,?,?,?,?,0,2,0
394.7265556,0,?,0,214.797136,0,0,0.02173913,19.15997323,320.000032,330.4788133,0,28.57323837,0,4,2,21.16777399,152.9319804,?,0,269.0632869,54.8883325,129.2824822,4,0
2076.116698,0,?,0,353.221957,0,6666.666667,0.004830918,?,0.004,473.6545528,30,767.0622559,?,2,7,1.636215714,1131.50516,0,0,242.2404318,52.66337006,0,?,0
