@relation Crime1TrainData-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1

@attribute mvar_1 numeric
@attribute mvar_2 numeric
@attribute mvar_3 numeric
@attribute mvar_5 numeric
@attribute mvar_12 numeric
@attribute mvar_14 {0,1}
@attribute mvar_17 numeric
@attribute mvar_18 numeric
@attribute mvar_19 numeric
@attribute mvar_20 numeric
@attribute mvar_24 numeric
@attribute mvar_25 numeric
@attribute mvar_26 numeric
@attribute mvar_27 numeric
@attribute mvar_28 numeric
@attribute mvar_29 numeric
@attribute mvar_30 numeric
@attribute mvar_32 numeric
@attribute mvar_34 numeric
@attribute mvar_36 numeric
@attribute mvar_37 numeric
@attribute mvar_38 numeric
@attribute mvar_39 numeric
@attribute mvar_40 numeric
@attribute output {0,1,2}

@data
?,?,?,0,60.143198,0,0,0.086957,?,100.00001,?,0,0,1,0,0,?,0,?,0,?,?,0,9,0
539.094796,0,?,0,95.465394,0,0,0.007246,?,240.000024,326.351796,0,9.056136,?,1,4,22.368415,277.205723,?,0,109.684331,54.95994,97.342104,6,0
?,?,?,0,70.644391,0,?,?,?,200.00002,?,0,?,?,0,1,?,0,?,0,?,?,?,1,0
?,?,?,0,29.594272,0,?,0.043478,?,40.000004,?,0,?,?,?,?,?,0,?,?,?,?,?,6,0
?,?,?,0,?,0,?,?,?,140.000014,?,0,?,?,?,?,?,0,?,?,?,?,?,5,0
?,?,?,1,34.367542,0,0,?,?,240.000024,?,0,0,?,0,0,?,0,?,0,?,?,0,14,0
?,?,?,3,83.054893,0,?,0.282609,?,130.000013,?,0,?,?,0,2,?,0,?,0,?,?,?,7,0
?,?,?,0,102.147971,0,0,0.014493,?,92.000009,?,0,0,?,?,?,?,0,?,?,?,?,0,7,0
47.380453,?,?,0,107.875895,0,0,0.021739,?,120.000012,?,0,0,?,0,1,?,270.965623,?,0,?,?,0,8,0
?,?,?,0,149.880668,0,0,0.021739,?,168.000017,?,0,0,?,0,?,?,206.484587,?,?,?,?,0,9,0
4.738045,?,?,1,?,0,0,?,?,67.200007,?,0,0,?,0,1,?,0,?,0,?,?,0,10,0
159.90903,0,?,0,228.162291,0,133.333333,0.007246,?,700.00007,412.384225,0,28.49798,?,1,2,2.750366,126.518858,?,0,3.394594,50.635954,0,44,0
71.07068,0,2408.516717,0,324.582339,0,400,0.004658,?,240.000024,583.814157,30,47.488271,?,0,7,11.030231,821.382083,?,0,168.728001,52.534612,0,2,1
?,?,?,?,?,0,?,?,?,244.000024,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
?,?,?,1,30.548926,0,?,?,?,128.000013,?,0,?,?,?,?,?,0,?,?,?,?,?,3,0
?,?,?,?,?,0,0,?,?,320.000032,?,?,24.057713,?,?,?,?,?,?,?,?,?,66.922697,?,1
85.284816,0,?,0,224.343675,0,0,0.021739,16.696415,48.000005,410.479448,30,6.0207,0,0,0,13.579863,29.780796,?,0,49.972871,53.560341,439.56044,6,0
?,0,?,4,85.918854,0,0,0.23913,37.148594,72.000007,317.145374,0,0,0,0,1,25.196959,0,?,0,18.531143,55.583375,0,17,0
14.214136,?,?,0,122.195704,0,0,?,?,76.800008,?,0,0,?,0,?,?,0,?,?,?,?,0,8,0
