@RELATION Crime2TrainData

@ATTRIBUTE mvar_1 NUMERIC
@ATTRIBUTE mvar_2 NUMERIC
@ATTRIBUTE mvar_3 NUMERIC
@ATTRIBUTE mvar_5 NUMERIC
@ATTRIBUTE mvar_12 NUMERIC
@ATTRIBUTE mvar_14 {0,1}
@ATTRIBUTE mvar_15 NUMERIC
@ATTRIBUTE mvar_17 NUMERIC
@ATTRIBUTE mvar_18 NUMERIC
@ATTRIBUTE mvar_19 NUMERIC
@ATTRIBUTE mvar_20 NUMERIC
@ATTRIBUTE mvar_21 NUMERIC
@ATTRIBUTE mvar_24 NUMERIC
@ATTRIBUTE mvar_25 NUMERIC
@ATTRIBUTE mvar_26 NUMERIC
@ATTRIBUTE mvar_27 NUMERIC
@ATTRIBUTE mvar_28 NUMERIC
@ATTRIBUTE mvar_29 NUMERIC
@ATTRIBUTE mvar_30 NUMERIC
@ATTRIBUTE mvar_32 NUMERIC
@ATTRIBUTE mvar_34 NUMERIC
@ATTRIBUTE mvar_36 NUMERIC
@ATTRIBUTE mvar_37 NUMERIC
@ATTRIBUTE mvar_38 NUMERIC
@ATTRIBUTE mvar_39 NUMERIC
@ATTRIBUTE mvar_40 NUMERIC
@ATTRIBUTE output {0,1,2}

@DATA
656.7878422,0,?,0,136.5155131,0,?,?,0,?,500.00005,0,?,0,?,?,0,0,?,3.301640338,?,0,0,50.02503756,?,6,0
14.21413596,0,?,0,145.1073986,0,0,0,0.054347826,8.43373494,120.000012,0,?,0,0,?,0,0,?,12.34813486,12.06463196,0,3.505891846,51.2869304,0,87,0
196.6288808,0,?,0,194.7494033,1,0,600,0.013043478,32.87594824,22.22000222,0,333.9709045,0,75.02042962,0,0,0,19.5438814,59.59460809,1.808630893,0,297.4443161,54.94408279,0,4,0
11.8451133,0,?,1,140.3341289,0,0,0,0.043478261,?,120.000012,0,?,0,0,?,0,2,?,44.37404614,4.21304608,?,1.224279692,50.46569855,0,16,0
28.42827192,?,?,0,191.8854415,1,0,0,0.065217391,?,48.0000048,0,?,30,7.187210528,0,0,0,?,0,?,0,?,?,0,1,0
?,0,?,0,168.0190931,0,0,0,0.006086957,36.06091031,80.000008,0,317.1453742,0,0,0,0,1,24.45858388,60.51906739,?,0,23.98475215,55.42063095,0,16,0
1563.554955,0,?,0,355.1312649,0,1,400,0,?,360.000036,0,2095.572187,30,200.3011604,?,0,16,3.937794561,903.625944,?,0,897.3970144,52.08699125,372.6377429,9,0
239.2712886,0,?,0,189.0214797,0,0,80,0.024456522,22.79953146,140.000014,0,366.0346511,0,26.24021715,0,0,0,9.992725283,129.0941372,35.39796529,0,187.4817402,55.00751127,194.6842085,38,0
6797.531478,0,2780.866846,0,353.221957,0,0,10080,0.003952569,?,600.00006,0,2040.016191,30,2994.69614,?,1,6,3.148549285,3468.835404,?,0,2050.668485,52.41708717,3679.227347,0,1
165.8315862,0,?,0,289.2601432,1,0,533.3333333,0.02173913,?,260.000026,0,1265.089406,30,13.3333417,0,0,0,3.315101373,98.58698048,?,0,28.60362554,50.76042635,0,1,1
486.1234498,0,?,0,200.477327,0,0,0,0.025946704,28.51405623,232.0000232,0,319.367614,0,12.99467733,0,5,1,17.05557449,475.0069954,0,2,242.4073791,54.96244367,107.9888969,9,0
?,?,?,?,?,0,?,?,?,?,180.000018,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0
23.6902266,0,?,0,192.8400955,1,0,53.33333333,0.02173913,20.65734201,160.000016,0,331.7486647,30,11.69019234,0,0,0,16.16606752,27.63472963,27.44863355,0,71.50906384,53.96427975,0,11,0
23.6902266,0,?,0,?,0,?,?,0.065217391,?,240.000024,0,?,0,?,?,0,16,?,16.50820169,?,0,0,?,?,27,0
?,0,?,?,284.4868735,0,0,0,0,?,360.000036,0,4324.478766,30,0,?,?,21,17.48205859,0,?,?,2357.350547,53.88294503,0,?,1
135.2238134,?,?,0,?,0,?,?,?,?,120.000012,?,?,0,?,?,1,1,?,0,?,0,?,?,?,14,0
?,0,?,0,126.0143198,0,?,?,0.032608696,25.54663097,200.00002,0,339.6852356,0,?,0,?,0,17.32096135,20.83335053,?,?,12.74363862,53.84743782,?,17,0
3572.817834,0,?,0,391.4081146,0,0,10640,0.00310559,0,500.00005,0,2449.54325,30,7611.795304,0,2,10,3.418964925,9738.41929,?,0,910.1963021,52.3310071,0,3,1
3783.56609,0,?,0,244.3914081,0,3,0,0.005434783,11.54618474,440.000044,0,397.4634719,0,145.4249893,0,6,2,13.11165549,2475.635958,47.63614602,2,867.1795657,55.00751127,0,21,0
33.16631724,?,?,1,53.46062053,0,?,?,?,?,120.000012,?,?,0,?,?,0,1,?,0,?,0,?,?,?,18,0
?,?,?,0,?,0,?,?,0.043478261,?,60.000006,0,?,0,?,?,?,?,?,0,?,?,?,?,?,13,0
?,?,?,?,?,0,?,?,?,?,260.000026,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
11.8451133,?,?,0,116.4677804,0,0,0,0.02173913,?,320.000032,0,?,0,0,?,0,2,?,323.8909171,?,0,?,?,0,0,0
20.13669261,0,?,0,26.73031026,0,0,80,0.043478261,47.4118697,160.000016,0,317.1453742,0,5.995613669,0,0,2,32.16418698,1003.269449,?,0,23.65085769,57.11901185,0,11,0
?,?,?,?,?,0,?,?,?,?,43.20000432,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
?,?,?,1,?,0,?,?,?,?,140.000014,?,?,0,?,?,?,?,?,0,?,?,?,?,?,19,0
30.79729458,0,?,0,179.4749403,0,0,0,0.02173913,16.78318211,220.000022,0,327.304185,30,1.11633811,0,0,0,11.37189077,85.57851755,?,0,37.67442508,54.78602519,368.0748317,10,0
61.64196961,1,?,0,165.1551313,0,0,0,0.02173913,34.67202142,20.64000206,0,317.1453742,30,16.49420915,0,0,0,24.61004537,0,53.55219287,0,72.39944907,55.62629659,202.2890604,7,0
11.8451133,0,?,1,?,0,?,?,0.108695652,?,168.0000168,0,?,0,?,?,0,?,?,0,?,?,0,?,?,9,0
1166.933182,0,?,0,164.2004773,0,1,560,0.00621118,?,340.000034,0,317.1453742,0,45.09253377,0,2,1,19.52676224,903.9230916,?,1,423.6564226,55.08662995,991.6726872,7,0
830.0581595,1,?,0,202.3866348,0,0,26.66666667,0.007246377,0,1000.0001,1,317.1453742,0,163.9637278,?,4,6,2.482518724,443.3772809,0,1,272.4022315,55.65112374,1406.897601,2,1
18.95218128,0,?,0,186.1575179,0,0,746.6666667,0.016304348,?,112.0000112,0,1206.041318,0,16.74507165,?,0,5,?,99.64350539,40.45481748,?,18.809388,54.25638458,215.9777938,3,1
122.4310911,0,?,0,180.4295943,0,1,0,0.025083612,?,84.72000847,0,320.0025397,0,34.46850704,0,1,0,19.77274416,210.0173419,32.1602857,1,114.3588531,54.88232349,107.9888969,22,0
787.4631321,0,?,0,215.75179,0,0,0,0.020703934,0,160.000016,0,418.733482,0,30.58013834,0,3,0,?,1007.726664,1.634371324,3,5.898802154,50.52078117,6.083881516,3,1
2824.064532,0,2399.975557,0,329.3556086,0,0,1013.333333,0.002717391,0,600.00006,0,952.0710482,29,35.44687077,0,3,5,2.543501901,707.0792947,0,1,41.79245677,51.22833504,30.41940758,6,0
?,?,?,0,25.77565633,0,1,0,0.108695652,?,68.0000068,0,?,0,9.946697991,2,0,0,?,10.40016706,?,0,?,?,261.6069052,13,0
663.3263447,0,2566.446451,0,248.2100239,0,0,0,0,?,356.0000356,0,1269.533885,1,0,?,0,1,?,742.5389119,?,0,0,50.02503756,0,7,1
662.9946815,0,?,0,121.2410501,0,0,0,0.054347826,?,500.00005,0,?,0,18.07464288,?,2,6,?,9.904921012,?,0,0,?,0,0,0
?,?,?,0,?,0,?,?,?,?,60.000006,?,?,0,?,?,0,0,?,0,?,0,?,?,?,0,0
?,?,?,0,189.9761337,0,0,0,0.02173913,?,140.000014,0,?,30,0,?,?,?,?,0,?,?,?,?,0,5,0
41.41051609,0,?,0,67.78042959,0,0,0,0.02173913,38.42034806,140.000014,0,317.1453742,0,0,0,0,1,26.06028909,0,?,0,31.94257015,55.77366049,0,5,0
?,?,?,0,132.6968974,0,?,?,?,?,240.000024,?,?,1,?,?,?,?,?,0,?,?,?,?,?,39,0
?,?,?,0,199.522673,0,0,0,0.02173913,?,200.00002,0,?,30,0,?,?,?,?,0,?,?,?,?,0,11,0
45.01143053,0,?,0,219.5704057,0,0,200,0.02173913,?,128.0000128,0,328.2565735,30,26.98026151,0,0,0,21.6376137,1.155574118,?,0,39.78909,54.79886496,0,0,1
91.01785059,?,?,1,93.55608592,0,0,0,?,?,120.000012,?,?,0,0,?,0,2,?,0,?,0,5.731854923,?,0,4,0
127.9272236,0,?,0,295.9427208,0,0,0,0.014492754,9.804650702,168.0000168,0,412.3842253,30,0,0,0,0,7.466498423,198.4616007,15.77897467,0,44.01841984,51.67542981,0,1,0
14.26151641,0,?,0,177.5656325,0,0,0,0.032608696,?,320.000032,0,352.7012119,0,18.21261726,0,0,1,14.24417977,30.77128795,?,0,10.51767554,53.16928882,0,5,0
544.8752117,?,?,0,158.4725537,0,0,0,0.02173913,?,165.5600166,0,?,0,11.67764922,0,1,3,?,488.8408684,?,0,0,?,0,?,0
392.5470547,0,?,0,171.8377088,0,1,240,0.025362319,29.84486968,168.0000168,0,328.8914991,0,98.28792618,0,2,0,20.73951109,117.2742648,35.57289509,1,303.6213637,54.74750587,73.0065782,15,0
498.2528458,0,?,0,178.5202864,0,0,0,0.014492754,25.76974565,580.000058,0,317.1453742,0,0,0,0,1,17.47242284,303.6188454,?,0,34.27983138,55.19278918,0,16,0
960.4017862,0,?,0,209.0692124,0,0,133.3333333,0.013833992,6.854578809,120.000012,0,475.8767927,0,23.24241031,0,4,1,?,353.9688606,19.51458976,0,217.0314,54.16124186,270.7327275,1,0
9.523471092,0,?,0,126.9689738,0,0,53.6,0.02173913,?,86.40000864,0,329.5264248,0,8.842903006,0,0,0,18.28963668,1.287639732,?,0,9.015150461,54.06094216,0,7,0
10.18679744,?,?,0,117.4224344,0,0,0,0.173913044,?,200.00002,0,?,0,0,?,0,?,?,0.792393681,?,?,?,?,0,12,0
20.23145351,0,?,0,164.2004773,0,0,0,0.010869565,8.366800536,160.000016,0,388.5745125,0,0,0,0,0,20.71507556,357.8647962,?,0,27.93583661,51.27691537,0,14,0
37.90436256,0,?,0,128.8782816,0,0,0,0.043478261,0,38.40000384,0,?,0,6.208846791,0,0,0,?,26.4131227,0,0,0,50.02503756,57.79687441,17,0
272.8640299,?,2443.29448,0,168.0190931,0,0,0,0.016304348,?,70.000007,0,?,0,1.768580601,?,1,1,?,686.311977,?,0,?,?,0,0,0
165.3104012,0,?,0,177.5656325,0,0,80,0.043478261,11.62985274,152.0000152,0,350.7964349,0,3.951084322,0,0,1,7.873551167,35.72374845,?,0,15.47044338,53.26322818,0,17,0
198.9979034,0,?,0,265.3937948,0,0,0,0.001449275,?,208.0000208,0,1220.644608,29,21.72469221,0,0,1,6.533117016,93.964684,?,0,64.21903477,51.46970456,115.5937488,0,1
11.8451133,?,?,1,50.59665871,0,0,0,?,?,240.000024,?,?,0,0,?,0,2,?,0,?,0,?,?,0,10,0
9.476090639,?,?,3,34.36754177,0,0,0,?,?,258.3600258,?,?,0,0,?,0,1,?,0,?,0,?,?,0,3,0
?,?,?,?,?,0,?,?,?,?,92.0000092,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
714.9710387,0,?,0,289.2601432,0,0,0,0.001449275,0,360.000036,0,475.8767927,29,15.66636291,0,3,4,17.03621376,715.9607072,?,1,208.9066348,53.78467702,0,0,1
5085.486183,0,2657.834907,0,270.1670644,0,0,0,0.007905138,?,750.000075,0,475.8767927,0,150.5676705,0,5,3,15.87242528,2415.942301,0,2,1191.27979,54.66815608,2714.932127,0,1
12.5558201,?,?,1,36.27684964,0,0,0,?,?,480.000048,?,?,0,0,?,0,3,?,0,?,0,?,?,0,8,0
64.53217725,0,?,0,265.3937948,0,0,0,0.02173913,?,277.3880277,0,440.3209549,30,20.63344035,0,0,0,10.10490342,34.66722354,10.96708031,0,17.362512,52.25695686,39.54522986,0,0
1198.725466,0,?,0,169.928401,0,0,0,0.034782609,34.73895582,380.000038,0,317.1453742,0,103.7818149,0,2,0,22.89008368,59.19841125,39.24197088,0,209.79702,55.22283425,827.4078862,3,0
