@relation Crime2TrainData-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S100

@attribute mvar_1 numeric
@attribute mvar_2 numeric
@attribute mvar_3 numeric
@attribute mvar_5 numeric
@attribute mvar_12 numeric
@attribute mvar_14 {0,1}
@attribute mvar_15 numeric
@attribute mvar_17 numeric
@attribute mvar_18 numeric
@attribute mvar_19 numeric
@attribute mvar_20 numeric
@attribute mvar_21 numeric
@attribute mvar_24 numeric
@attribute mvar_25 numeric
@attribute mvar_26 numeric
@attribute mvar_27 numeric
@attribute mvar_28 numeric
@attribute mvar_29 numeric
@attribute mvar_30 numeric
@attribute mvar_32 numeric
@attribute mvar_34 numeric
@attribute mvar_36 numeric
@attribute mvar_37 numeric
@attribute mvar_38 numeric
@attribute mvar_39 numeric
@attribute mvar_40 numeric
@attribute output {0,1,2}

@data
656.787842,0,?,0,136.515513,0,?,?,0,?,500.00005,0,?,0,?,?,0,0,?,3.30164,?,0,0,50.025038,?,6,0
14.214136,0,?,0,145.107399,0,0,0,0.054348,8.433735,120.000012,0,?,0,0,?,0,0,?,12.348135,12.064632,0,3.505892,51.28693,0,87,0
196.628881,0,?,0,194.749403,1,0,600,0.013043,32.875948,22.220002,0,333.970905,0,75.02043,0,0,0,19.543881,59.594608,1.808631,0,297.444316,54.944083,0,4,0
11.845113,0,?,1,140.334129,0,0,0,0.043478,?,120.000012,0,?,0,0,?,0,2,?,44.374046,4.213046,?,1.22428,50.465699,0,16,0
28.428272,?,?,0,191.885442,1,0,0,0.065217,?,48.000005,0,?,30,7.187211,0,0,0,?,0,?,0,?,?,0,1,0
?,0,?,0,168.019093,0,0,0,0.006087,36.06091,80.000008,0,317.145374,0,0,0,0,1,24.458584,60.519067,?,0,23.984752,55.420631,0,16,0
1563.554955,0,?,0,355.131265,0,1,400,0,?,360.000036,0,2095.572187,30,200.30116,?,0,16,3.937795,903.625944,?,0,897.397014,52.086991,372.637743,9,0
239.271289,0,?,0,189.02148,0,0,80,0.024457,22.799531,140.000014,0,366.034651,0,26.240217,0,0,0,9.992725,129.094137,35.397965,0,187.48174,55.007511,194.684209,38,0
6797.531478,0,2780.866846,0,353.221957,0,0,10080,0.003953,?,600.00006,0,2040.016191,30,2994.69614,?,1,6,3.148549,3468.835404,?,0,2050.668485,52.417087,3679.227347,0,1
165.831586,0,?,0,289.260143,1,0,533.333333,0.021739,?,260.000026,0,1265.089406,30,13.333342,0,0,0,3.315101,98.58698,?,0,28.603626,50.760426,0,1,1
486.12345,0,?,0,200.477327,0,0,0,0.025947,28.514056,232.000023,0,319.367614,0,12.994677,0,5,1,17.055574,475.006995,0,2,242.407379,54.962444,107.988897,9,0
?,?,?,?,?,0,?,?,?,?,180.000018,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0
23.690227,0,?,0,192.840096,1,0,53.333333,0.021739,20.657342,160.000016,0,331.748665,30,11.690192,0,0,0,16.166068,27.63473,27.448634,0,71.509064,53.96428,0,11,0
23.690227,0,?,0,?,0,?,?,0.065217,?,240.000024,0,?,0,?,?,0,16,?,16.508202,?,0,0,?,?,27,0
?,0,?,?,284.486874,0,0,0,0,?,360.000036,0,4324.478766,30,0,?,?,21,17.482059,0,?,?,2357.350547,53.882945,0,?,1
135.223813,?,?,0,?,0,?,?,?,?,120.000012,?,?,0,?,?,1,1,?,0,?,0,?,?,?,14,0
?,0,?,0,126.01432,0,?,?,0.032609,25.546631,200.00002,0,339.685236,0,?,0,?,0,17.320961,20.833351,?,?,12.743639,53.847438,?,17,0
3572.817834,0,?,0,391.408115,0,0,10640,0.003106,0,500.00005,0,2449.54325,30,7611.795304,0,2,10,3.418965,9738.41929,?,0,910.196302,52.331007,0,3,1
3783.56609,0,?,0,244.391408,0,3,0,0.005435,11.546185,440.000044,0,397.463472,0,145.424989,0,6,2,13.111655,2475.635958,47.636146,2,867.179566,55.007511,0,21,0
33.166317,?,?,1,53.460621,0,?,?,?,?,120.000012,?,?,0,?,?,0,1,?,0,?,0,?,?,?,18,0
